date,ukey,value,factor
2021-01-29,858,15.96,risk_fac_growth_np_yoy
2021-01-29,859,-23.19,risk_fac_growth_np_yoy
2021-01-29,860,-34.78,risk_fac_growth_np_yoy
2021-01-29,863,-49.46,risk_fac_growth_np_yoy
2021-01-29,862,27.81,risk_fac_growth_np_yoy
2021-01-29,868,97.45,risk_fac_growth_np_yoy
2021-01-29,875,36.79,risk_fac_growth_np_yoy
2021-01-29,869,-45.5,risk_fac_growth_np_yoy
2021-01-29,876,65.54,risk_fac_growth_np_yoy
2021-01-29,878,-27.72,risk_fac_growth_np_yoy
2021-01-29,877,-3.13,risk_fac_growth_np_yoy
2021-01-29,881,235.41,risk_fac_growth_np_yoy
2021-01-29,880,37.8,risk_fac_growth_np_yoy
2021-01-29,883,64.14,risk_fac_growth_np_yoy
2021-01-29,882,-76.2,risk_fac_growth_np_yoy
2021-01-29,885,-46.6,risk_fac_growth_np_yoy
2021-01-29,886,54.86,risk_fac_growth_np_yoy
2021-01-29,887,-49.73,risk_fac_growth_np_yoy
2021-01-29,888,-141.7,risk_fac_growth_np_yoy
2021-01-29,889,-74.23,risk_fac_growth_np_yoy
2021-01-29,890,109.68,risk_fac_growth_np_yoy
2021-01-29,895,25.24,risk_fac_growth_np_yoy
2021-01-29,892,-2716.26,risk_fac_growth_np_yoy
2021-01-29,893,-86.77,risk_fac_growth_np_yoy
2021-01-29,897,658.82,risk_fac_growth_np_yoy
2021-01-29,898,-23.05,risk_fac_growth_np_yoy
2021-01-29,899,0.54,risk_fac_growth_np_yoy
2021-01-29,900,-46.12,risk_fac_growth_np_yoy
2021-01-29,901,-257.09,risk_fac_growth_np_yoy
2021-01-29,902,23.9,risk_fac_growth_np_yoy
2021-01-29,903,20.15,risk_fac_growth_np_yoy
2021-01-29,905,23.8,risk_fac_growth_np_yoy
2021-01-29,906,2.78,risk_fac_growth_np_yoy
2021-01-29,909,1.41,risk_fac_growth_np_yoy
2021-01-29,910,-8.54,risk_fac_growth_np_yoy
2021-01-29,908,153.04,risk_fac_growth_np_yoy
2021-01-29,911,107.72,risk_fac_growth_np_yoy
2021-01-29,912,-12.7,risk_fac_growth_np_yoy
2021-01-29,917,-1431.6601175812,risk_fac_growth_np_yoy
2021-01-29,913,-13.24,risk_fac_growth_np_yoy
2021-01-29,915,47.24,risk_fac_growth_np_yoy
2021-01-29,919,-67.17,risk_fac_growth_np_yoy
2021-01-29,921,-25.7,risk_fac_growth_np_yoy
2021-01-29,920,-8.18,risk_fac_growth_np_yoy
2021-01-29,922,42.83,risk_fac_growth_np_yoy
2021-01-29,925,-98.35,risk_fac_growth_np_yoy
2021-01-29,926,-48.58,risk_fac_growth_np_yoy
2021-01-29,923,50.2,risk_fac_growth_np_yoy
2021-01-29,927,147.07,risk_fac_growth_np_yoy
2021-01-29,930,37.15,risk_fac_growth_np_yoy
2021-01-29,928,-4.53,risk_fac_growth_np_yoy
2021-01-29,929,-221.41,risk_fac_growth_np_yoy
2021-01-29,931,-77.92,risk_fac_growth_np_yoy
2021-01-29,935,24.19,risk_fac_growth_np_yoy
2021-01-29,932,39.08,risk_fac_growth_np_yoy
2021-01-29,933,-80.36,risk_fac_growth_np_yoy
2021-01-29,936,-168.86,risk_fac_growth_np_yoy
2021-01-29,938,4.32,risk_fac_growth_np_yoy
2021-01-29,937,21.33,risk_fac_growth_np_yoy
2021-01-29,948,112.54,risk_fac_growth_np_yoy
2021-01-29,950,-5.17,risk_fac_growth_np_yoy
2021-01-29,949,-74.76,risk_fac_growth_np_yoy
2021-01-29,951,59.9,risk_fac_growth_np_yoy
2021-01-29,952,-54.11,risk_fac_growth_np_yoy
2021-01-29,953,192.46,risk_fac_growth_np_yoy
2021-01-29,955,1992.08,risk_fac_growth_np_yoy
2021-01-29,958,-15.4,risk_fac_growth_np_yoy
2021-01-29,957,-79.84,risk_fac_growth_np_yoy
2021-01-29,960,-21.42,risk_fac_growth_np_yoy
2021-01-29,959,2.85,risk_fac_growth_np_yoy
2021-01-29,963,8.06,risk_fac_growth_np_yoy
2021-01-29,962,37.16,risk_fac_growth_np_yoy
