基金代码,基金简称,基金类型
011470,东吴新产业精选股票C,股票型
011471,鹏华致远成长混合A,混合型-偏股
011472,鹏华致远成长混合C,混合型-偏股
011473,工银战略转型股票C,股票型
011474,工银信息产业混合C,混合型-偏股
011475,工银消费服务混合C,混合型-偏股
011476,工银新蓝筹股票C,股票型
011477,工银总回报灵活配置混合C,混合型-灵活
011478,工银美丽城镇股票C,股票型
011479,广发诚享混合A,混合型-偏股
011480,广发诚享混合C,混合型-偏股
011481,广发瑞锦一年定期开放混合,混合型-偏股
011486,博时创新精选混合A,混合型-偏股
011487,博时创新精选混合C,混合型-偏股
011488,申万菱信乐享混合A,混合型-偏股
011489,创金合信双季享6个月持有A,债券型-混合一级
011490,创金合信双季享6个月持有C,债券型-混合一级
011492,华泰紫金丰睿债券发起A,债券型-混合二级
011493,华泰紫金丰睿债券发起C,债券型-混合二级
011494,华泰紫金丰和偏债混合发起A,混合型-偏债
011495,华泰紫金丰和偏债混合发起C,混合型-偏债
011496,华泰紫金月月发1个月滚动债券发起A,债券型-混合一级
011497,华泰紫金月月发1个月滚动债券发起C,债券型-混合一级
011498,富国沪深300基本面精选股票A,股票型
011499,富国沪深300基本面精选股票C,股票型
011500,九泰量化新兴产业,混合型-偏股
011501,方正富邦汇福一年定开混合A,混合型-灵活
011502,方正富邦汇福一年定开混合C,混合型-灵活
011503,建信智能生活混合,混合型-偏股
011504,上银丰益混合A,混合型-偏债
011505,上银丰益混合C,混合型-偏债
011506,建信高端装备股票A,股票型
011507,建信高端装备股票C,股票型
011508,易方达悦弘一年持有期混合A,混合型-偏债
011509,易方达悦弘一年持有期混合C,混合型-偏债
011510,国寿安保稳鑫一年持有混合A,混合型-偏债
011511,国寿安保稳鑫一年持有混合C,混合型-偏债
011512,天弘中证新能源车A,指数型-股票
011513,天弘中证新能源车C,指数型-股票
011514,中海海誉混合A,混合型-偏债
011515,中海海誉混合C,混合型-偏债
011516,嘉实浦盈一年持有期混合A,混合型-偏债
011517,嘉实浦盈一年持有期混合C,混合型-偏债
011518,嘉实价值臻选混合A,混合型-偏股
011521,鹏扬景源一年持有混合A,混合型-偏债
011522,鹏扬景源一年持有混合C,混合型-偏债
011523,前海联合产业趋势混合A,混合型-偏股
011524,前海联合产业趋势混合C,混合型-偏股
011525,中信保诚丰裕一年持有期混合A,混合型-偏债
011526,中信保诚丰裕一年持有期混合C,混合型-偏债
011527,博时恒悦6个月持有混合A,混合型-偏债
011528,博时恒悦6个月持有混合C,混合型-偏债
011530,泓德优质治理灵活配置混合,混合型-灵活
011531,朱雀恒心一年持有混合,混合型-偏股
011532,工银聚丰混合A,混合型-偏债
011533,工银聚丰混合C,混合型-偏债
011534,万家民瑞祥明6个月持有混合A,混合型-偏债
011535,万家民瑞祥明6个月持有混合C,混合型-偏债
011536,惠升惠益混合A,混合型-偏债
011537,惠升惠益混合C,混合型-偏债
011538,长城优选添瑞六个月持有混合A,混合型-偏债
011539,长城优选添瑞六个月持有混合C,混合型-偏债
011542,鹏华远见回报三年持有混合,混合型-偏股
011545,长江沪深300指数增强发起式A,指数型-股票
011546,长江沪深300指数增强发起式C,指数型-股票
011548,九泰久慧混合A,混合型-偏债
011549,九泰久慧混合C,混合型-偏债
011550,湘财创新成长一年持有期混合A,混合型-偏股
011551,湘财创新成长一年持有期混合C,混合型-偏股
011552,鹏华民丰盈和6个月持有混合A,混合型-偏债
011553,鹏华民丰盈和6个月持有混合C,混合型-偏债
011554,海富通欣利混合A,混合型-偏债
011555,海富通欣利混合C,混合型-偏债
011556,富国民裕进取沪港深成长C,混合型-偏股
011558,天弘宁弘六个月A,混合型-偏债
011559,天弘宁弘六个月C,混合型-偏债
011562,汇添富稳健盈和一年持有混合,混合型-偏债
011563,淳厚利加混合A,混合型-偏债
011564,淳厚利加混合C,混合型-偏债
011565,富国周期优势混合C,混合型-偏股
011566,富国美丽中国混合C,混合型-偏股
011567,富国消费升级混合C,混合型-偏股
011568,鹏华产业升级混合A,混合型-偏股
011569,鹏华产业升级混合C,混合型-偏股
011570,鹏华鑫远价值一年持有期混合A,混合型-偏股
011571,鹏华鑫远价值一年持有期混合C,混合型-偏股
011572,鹏华安荣混合A,混合型-偏债
011573,鹏华安荣混合C,混合型-偏债
011574,鹏华领航一年持有混合A,混合型-偏股
011575,鹏华领航一年持有混合C,混合型-偏股
011576,鹏华安诚混合A,混合型-偏债
011577,鹏华安诚混合C,混合型-偏债
011578,汇丰晋信核心成长A,混合型-偏股
011579,汇丰晋信核心成长C,混合型-偏股
011583,大成港股精选混合(QDII)A,QDII-混合偏股
011584,大成港股精选混合(QDII)C,QDII-混合偏股
011585,博时产业慧选混合A,混合型-偏股
011586,博时产业慧选混合C,混合型-偏股
011588,前海开源成份精选混合,混合型-偏股
011589,九泰天利量化A,股票型
011590,九泰天利量化C,股票型
011592,博时军工主题股票C,股票型
011598,信澳医药健康混合A,混合型-偏股
011599,国联安匠心科技1个月滚动持有混合,混合型-偏股
011601,前海开源公共卫生股票A,股票型
011602,前海开源公共卫生股票C,股票型
011603,兴业高端制造混合A,混合型-偏股
011604,兴业高端制造混合C,混合型-偏股
011607,民生中证内地资源主题指数C,指数型-股票
011608,易方达上证科创50联接A,指数型-股票
011609,易方达上证科创50联接C,指数型-股票
011610,华泰柏瑞上证科创板50成份ETF联接A,指数型-股票
011611,华泰柏瑞上证科创板50成份ETF联接C,指数型-股票
011612,华夏科创50ETF联接A,指数型-股票
011613,华夏科创50ETF联接C,指数型-股票
011614,工银科创50ETF联接A,指数型-股票
011615,工银科创50ETF联接C,指数型-股票
011616,国投瑞银瑞祥C,混合型-灵活
011618,国投瑞银瑞泰多策略混合C,混合型-灵活
011624,华夏卓享债券A,债券型-混合二级
011625,华夏卓享债券C,债券型-混合二级
011626,嘉实匠心回报混合A,混合型-偏股
011627,嘉实匠心回报混合C,混合型-偏股
011629,银河核心优势混合A,混合型-偏股
011630,东财有色增强A,指数型-股票
011631,东财有色增强C,指数型-股票
011635,富国港股通策略精选混合A,混合型-偏股
011636,富国港股通策略精选混合C,混合型-偏股
011637,广发沪港深价值成长混合A,混合型-偏股
011638,广发沪港深价值成长混合C,混合型-偏股
011643,嘉实时代先锋三年持有混合A,混合型-偏股
011644,嘉实时代先锋三年持有混合C,混合型-偏股
011645,国泰核心价值两年持有期股票A,股票型
011646,国泰核心价值两年持有期股票C,股票型
011649,易方达逆向投资混合A,混合型-偏股
011650,易方达逆向投资混合C,混合型-偏股
011651,招商港股通核心精选股票A,股票型
011652,招商港股通核心精选股票C,股票型
011653,国泰鑫享稳健6个月滚动持有债券,债券型-混合二级
011654,国泰鑫享稳健6个月滚动持有债券C,债券型-混合二级
011655,天弘兴益一年定开,债券型-混合一级
011656,天弘京津冀发起债A,债券型-混合二级
011657,天弘京津冀发起债C,债券型-混合二级
011663,华安研究驱动混合A,混合型-偏股
011664,华安研究驱动混合C,混合型-偏股
011665,汇添富数字经济引领发展三年持有混合A,混合型-偏股
011666,汇添富数字经济引领发展三年持有混合C,混合型-偏股
011667,东财高端制造增强A,指数型-股票
011668,东财高端制造增强C,指数型-股票
011669,长信优质企业混合A,混合型-偏股
011670,长信优质企业混合C,混合型-偏股
011671,中信建投双利3个月债A,债券型-混合二级
011672,中信建投双利3个月债C,债券型-混合二级
011673,长城医药科技六个月持有混合A,混合型-偏股
011674,长城医药科技六个月持有混合C,混合型-偏股
011681,汇添富均衡精选六个月持有混合A,混合型-偏股
011682,汇添富均衡精选六个月持有混合C,混合型-偏股
011685,创金合信先进装备股票A,股票型
011686,创金合信先进装备股票C,股票型
011687,易方达龙头优选两年持有混合A,混合型-偏股
011688,易方达龙头优选两年持有混合C,混合型-偏股
011690,招商品质发现混合A,混合型-偏股
011691,招商品质发现混合C,混合型-偏股
011692,华安研究智选混合A,混合型-偏股
011693,华安研究智选混合C,混合型-偏股
011694,华泰紫金信息科技主题6个月持有混合发起A,混合型-偏股
011695,华泰紫金信息科技主题6个月持有混合发起C,混合型-偏股
011698,南方均衡回报混合A,混合型-平衡
011701,南方均衡回报混合C,混合型-平衡
011702,广发睿享稳健增利混合C,混合型-偏债
011703,中金鑫瑞优选一年持有混合,混合型-灵活
011704,东方阿尔法产业先锋混合A,混合型-偏股
011705,东方阿尔法产业先锋混合C,混合型-偏股
011706,长信标普100等权重指数美元,指数型-海外股票
011707,东吴配置优化混合C,混合型-灵活
011708,中欧嘉益一年持有期混合A,混合型-偏股
011709,中欧嘉益一年持有期混合C,混合型-偏股
011710,中欧睿泽混合A,混合型-偏股
011711,中欧睿泽混合C,混合型-偏股
011712,大摩万众创新混合C,混合型-灵活
011713,中信保诚盛裕一年持有混合A,混合型-偏债
011714,中信保诚盛裕一年持有混合C,混合型-偏债
011717,浦银均衡优选6个月持有混合A,混合型-偏股
011718,浦银均衡优选6个月持有混合C,混合型-偏股
011720,易方达悦信一年持有混合A,混合型-偏债
011721,易方达悦信一年持有混合C,混合型-偏债
011722,前海开源深圳特区精选股票A,股票型
011723,前海开源深圳特区精选股票C,股票型
011724,东方红启恒三年持有混合B,混合型-偏股
011725,东方红新源三年持有混合B,混合型-平衡
011726,安信新常态股票C,股票型
011727,工银聚瑞混合A,混合型-偏债
011728,工银聚瑞混合C,混合型-偏债
011729,工银聚享混合A,混合型-偏债
011730,工银聚享混合C,混合型-偏债
011733,银华瑞祥一年持有期混合,混合型-偏股
011734,国寿安保裕丰混合A,混合型-偏债
011735,国寿安保裕丰混合C,混合型-偏债
011736,宝盈祥庆9个月持有混合A,混合型-偏债
011737,宝盈祥庆9个月持有混合C,混合型-偏债
011738,华安兴安优选一年持有混合A,混合型-平衡
011739,华安兴安优选一年持有混合C,混合型-平衡
011740,博时成长精选混合A,混合型-偏股
011741,博时成长精选混合C,混合型-偏股
011743,华夏兴源稳健一年持有混合A,混合型-偏债
011744,华夏兴源稳健一年持有混合C,混合型-偏债
011746,南方誉浦一年持有混合A,混合型-偏债
011747,南方誉浦一年持有混合C,混合型-偏债
011748,华泰柏瑞景气成长混合A,混合型-偏股
011749,华泰柏瑞景气成长混合C,混合型-偏股
011755,广发竞争优势混合C,混合型-灵活
011756,博时产业优选混合A,混合型-灵活
011757,博时产业优选混合C,混合型-灵活
011758,广发逆向策略混合C,混合型-灵活
011759,平安鑫盛混合发起式A,混合型-偏股
011760,平安鑫盛混合发起式C,混合型-偏股
011761,平安鑫瑞混合A,混合型-偏债
011762,平安鑫瑞混合C,混合型-偏债
011765,兴银高端制造混合A,混合型-偏股
011766,兴银高端制造混合C,混合型-偏股
011767,泰康合润混合A,混合型-偏债
011768,泰康合润混合C,混合型-偏债
011769,富国精诚回报12个月持有期混合A,混合型-偏债
011770,富国精诚回报12个月持有期混合C,混合型-偏债
011773,国寿安保璟珹6个月持有混合A,混合型-偏债
011774,国寿安保璟珹6个月持有混合C,混合型-偏债
011775,格林鑫悦一年持有期混合A,混合型-偏债
011776,格林鑫悦一年持有期混合C,混合型-偏债
011777,易方达稳健增长混合A,混合型-平衡
011778,易方达稳健增长混合C,混合型-平衡
011779,易方达稳泰一年持有混合A,混合型-偏债
011780,易方达稳泰一年持有混合C,混合型-偏债
011781,泓德慧享混合A,混合型-偏债
011782,泓德慧享混合C,混合型-偏债
011783,泓德睿源三年持有期混合,混合型-灵活
011784,天弘招添利混合发起A,混合型-偏债
011785,天弘招添利混合发起C,混合型-偏债
011786,工银聚安混合A,混合型-偏债
011787,工银聚安混合C,混合型-偏债
011788,工银聚益混合A,混合型-偏债
011789,工银聚益混合C,混合型-偏债
011790,建信创新驱动混合,混合型-偏股
011791,招商瑞盈9个月持有期混合A,混合型-偏债
011792,招商瑞盈9个月持有期混合C,混合型-偏债
011793,建信智能汽车股票,股票型
011798,华安宁享6个月混合A,混合型-偏债
011799,华安宁享6个月混合C,混合型-偏债
011800,申万菱信价值精选混合A,混合型-偏股
011801,中银证券盈瑞混合A,混合型-偏债
011802,中银证券盈瑞混合C,混合型-偏债
011803,景顺长城宁景6个月持有混合A,混合型-偏债
011804,景顺长城宁景6个月持有混合C,混合型-偏债
011805,嘉实优质核心两年持有混合A,混合型-偏股
011806,嘉实优质核心两年持有混合C,混合型-偏股
011807,平安研究精选混合A,混合型-偏股
011808,平安研究精选混合C,混合型-偏股
011811,财通安华混合发起A,混合型-偏债
011812,财通安华混合发起C,混合型-偏债
011813,融通创新动力混合A,混合型-偏股
011814,融通创新动力混合C,混合型-偏股
011815,恒越优势精选混合A,混合型-偏股
011816,融通多元收益一年持有期混合,混合型-偏债
011817,银华阿尔法混合,混合型-偏股
011818,鹏扬景阳一年持有混合A,混合型-偏债
011819,鹏扬景阳一年持有混合C,混合型-偏债
011820,兴业兴智一年持有期混合A,混合型-偏股
011821,兴业兴智一年持有期混合C,混合型-偏股
011822,易方达产业升级混合A,混合型-偏股
011823,易方达产业升级混合C,混合型-偏股
011824,浙商汇金量化臻选股票A,股票型
011825,浙商汇金量化臻选股票C,股票型
011826,汇添富健康生活一年持有混合A,混合型-偏股
011827,汇添富健康生活一年持有混合C,混合型-偏股
011828,平安睿享成长混合A,混合型-偏股
011829,平安睿享成长混合C,混合型-偏股
011830,富国天恒混合A,混合型-偏股
011831,富国天恒混合C,混合型-偏股
011832,西部利得人工智能主题指数增强A,指数型-股票
011833,西部利得人工智能主题指数增强C,指数型-股票
011834,大成投资严选六月持有混合A,混合型-偏股
011835,大成投资严选六月持有混合C,混合型-偏股
011836,银华智能建造股票发起式,股票型
011837,鹏扬中国优质成长混合A,混合型-偏股
011838,鹏扬中国优质成长混合C,混合型-偏股
011839,天弘中证人工智能主题ETF发起联接A,指数型-股票
011840,天弘中证人工智能主题ETF发起联接C,指数型-股票
011841,嘉实兴锐优选一年持有混合A,混合型-偏股
011842,嘉实兴锐优选一年持有混合C,混合型-偏股
011843,民生加银内核驱动混合A,混合型-偏股
011844,民生加银内核驱动混合C,混合型-偏股
011845,博时周期优选混合A,混合型-偏股
011846,博时周期优选混合C,混合型-偏股
011847,易方达商业模式优选混合A,混合型-偏股
011848,易方达商业模式优选混合C,混合型-偏股
011849,西部利得量化价值一年持有期混合,混合型-偏股
011851,天弘先进制造混合A,混合型-偏股
011852,天弘先进制造混合C,混合型-偏股
011853,招商中证消费龙头指数增强A,指数型-股票
011854,招商中证消费龙头指数增强C,指数型-股票
011855,银华长荣混合A,混合型-偏股
011856,安信均衡成长18个月持有混合A,混合型-偏股
011857,安信均衡成长18个月持有混合C,混合型-偏股
011860,南方中证1000ETF发起联接A,指数型-股票
011861,南方中证1000ETF发起联接C,指数型-股票
011862,南方蓝筹成长混合A,混合型-偏股
011863,南方蓝筹成长混合C,混合型-偏股
011864,博时恒泰债券A,债券型-混合二级
011865,博时恒泰债券C,债券型-混合二级
011866,广发价值增长混合A,混合型-偏股
011867,广发价值增长混合C,混合型-偏股
011868,中信建投远见回报混合A,混合型-偏股
011869,中信建投远见回报混合C,混合型-偏股
011870,前海开源国家比较优势混合C,混合型-灵活
011871,前海开源沪港深优势精选混合C,混合型-灵活
011872,中邮悦享6个月持有期混合A,混合型-偏债
011873,中邮悦享6个月持有期混合C,混合型-偏债
011874,博时先进制造混合A,混合型-偏股
011875,博时先进制造混合C,混合型-偏股
011876,景顺长城医疗健康混合A,混合型-偏股
011877,景顺长城医疗健康混合C,混合型-偏股
011879,博时新兴消费主题混合C,混合型-偏股
011882,招商蓝筹精选股票A,股票型
011883,招商蓝筹精选股票C,股票型
011884,工银景气优选混合A,混合型-偏股
011885,工银景气优选混合C,混合型-偏股
011888,民生加银周期优选混合A,混合型-偏股
011889,民生加银周期优选混合C,混合型-偏股
011891,易方达先锋成长混合A,混合型-偏股
011892,易方达先锋成长混合C,混合型-偏股
011893,易方达长期价值混合A,混合型-偏股
011894,易方达长期价值混合C,混合型-偏股
011895,博时医疗保健行业混合C,混合型-偏股
011897,长城悦享回报债券A,债券型-混合二级
011898,长城悦享回报债券C,债券型-混合二级
011899,长安鑫瑞科技6个月定开混合A,混合型-偏股
011900,长安鑫瑞科技6个月定开混合C,混合型-偏股
011901,南方竞争优势混合A,混合型-偏股
011902,南方竞争优势混合C,混合型-偏股
011903,南方领航优选混合A,混合型-偏股
011904,南方领航优选混合C,混合型-偏股
011905,安信价值启航混合A,混合型-偏股
011906,安信价值启航混合C,混合型-偏股
011907,国泰量化收益灵活配置混合C,混合型-灵活
011908,广发沪港深价值精选混合A,混合型-偏股
011909,广发沪港深价值精选混合C,混合型-偏股
011911,华夏消费优选混合A,混合型-偏股
011912,华夏消费优选混合C,混合型-偏股
011913,华夏永泓一年持有混合A,混合型-偏债
011914,华夏永泓一年持有混合C,混合型-偏债
011917,山证资管品质生活混合A,混合型-偏股
011918,山证资管品质生活混合C,混合型-偏股
011921,富国均衡成长三年持有期混合A,混合型-偏股
011922,富国均衡成长三年持有期混合C,混合型-偏股
011923,大成消费精选股票A,股票型
011924,嘉实港股互联网产业核心资产A,混合型-偏股
011925,嘉实港股互联网产业核心资产C,混合型-偏股
011926,大成消费精选股票C,股票型
011927,博时汇誉回报混合A,混合型-灵活
011928,博时汇誉回报混合C,混合型-灵活
011930,华夏时代前沿一年持有混合A,混合型-偏股
011931,华夏时代前沿一年持有混合C,混合型-偏股
011932,工银战略远见混合A,混合型-偏股
011933,工银战略远见混合C,混合型-偏股
011934,中航量化阿尔法六个月持有A,股票型
011935,中航量化阿尔法六个月持有C,股票型
011936,华夏阿尔法精选混合A,混合型-偏股
011937,华夏阿尔法精选混合C,混合型-偏股
011938,博时新能源汽车主题混合A,混合型-偏股
011939,博时新能源汽车主题混合C,混合型-偏股
011942,建信泓利一年持有期债券,债券型-混合二级
011945,汇添富稳健增益一年持有混合C,混合型-偏债
011948,东吴智慧医疗量化混合C,混合型-灵活
011949,东吴多策略混合C,混合型-灵活
011956,鹏华新能源精选混合A,混合型-偏股
011957,鹏华新能源精选混合C,混合型-偏股
011963,广发稳裕混合C,混合型-灵活
011964,泰康中证500ETF联接A,指数型-股票
011965,泰康中证500ETF联接C,指数型-股票
011966,招商中证光伏产业ETF联接A,指数型-股票
011967,招商中证光伏产业ETF联接C,指数型-股票
011969,建信港股通精选混合A,混合型-偏股
011970,建信港股通精选混合C,混合型-偏股
011971,东财银行A,指数型-股票
011972,东财银行C,指数型-股票
011975,广发均衡回报混合A,混合型-平衡
011976,广发均衡回报混合C,混合型-平衡
011977,格林研究优选混合A,混合型-偏股
011978,格林研究优选混合C,混合型-偏股
011980,国富匠心精选混合A,混合型-偏股
011981,国富匠心精选混合C,混合型-偏股
011982,博时内需增长混合C,混合型-灵活
011989,汇安鑫泽稳健一年持有期混合A,混合型-偏债
011990,汇安鑫泽稳健一年持有期混合C,混合型-偏债
011991,汇安泓利一年持有期混合A,混合型-偏债
011992,汇安泓利一年持有期混合C,混合型-偏债
011994,国联安核心优势混合A,混合型-偏股
011997,景顺长城安盈回报一年持有混合A,混合型-偏债
011998,景顺长城安盈回报一年持有混合C,混合型-偏债
012001,中泰星宇价值成长混合A,混合型-偏股
012002,中泰星宇价值成长混合C,混合型-偏股
012003,招商价值成长混合A,混合型-偏股
012004,招商价值成长混合C,混合型-偏股
012005,信澳恒盛混合A,混合型-偏债
012006,信澳恒盛混合C,混合型-偏债
012007,万家瑞富灵活配置混合C,混合型-灵活
012008,易方达稳健回报混合A,混合型-平衡
012009,易方达稳健回报混合C,混合型-平衡
012010,富国泰享回报6个月持有混合A,混合型-偏债
012011,富国泰享回报6个月持有混合C,混合型-偏债
012014,工银聚润6个月持有混合A,混合型-偏债
012015,工银聚润6个月持有混合C,混合型-偏债
012017,国投瑞银和旭一年持有债券A,债券型-混合二级
012018,国投瑞银和旭一年持有债券C,债券型-混合二级
012023,兴业聚乾混合A,混合型-偏债
012024,兴业聚乾混合C,混合型-偏债
012025,兴业聚兴混合A,混合型-偏债
012026,兴业聚兴混合C,混合型-偏债
012027,光大安阳一年持有期混合A,混合型-偏债
012028,光大安阳一年持有期混合C,混合型-偏债
012029,广发恒鑫一年持有期混合A,混合型-偏债
012030,广发恒鑫一年持有期混合C,混合型-偏债
012033,广发睿盛混合A,混合型-偏股
012034,广发睿盛混合C,混合型-偏股
012036,诺德兴远优选一年持有混合,混合型-平衡
012040,鹏华中证信息技术指数(LOF)C,指数型-股票
012041,鹏华中证国防指数(LOF)C,指数型-股票
012042,鹏华中证银行指数(LOF)C,指数型-股票
012043,鹏华酒C,指数型-股票
012044,鹏华中证全指证券公司指数(LOF)C,指数型-股票
012045,大成医药健康股票A,股票型
012046,大成医药健康股票C,股票型
012049,天弘安盈一年持有A,债券型-混合二级
012050,天弘安盈一年持有C,债券型-混合二级
012051,申万菱信乐道三年持有期混合,混合型-偏股
012052,财通资管新聚益6个月持有混合发起式A,混合型-偏债
012053,财通资管新聚益6个月持有混合发起式C,混合型-偏债
012054,鹏华安康一年持有期混合A,混合型-偏债
012055,鹏华安康一年持有期混合C,混合型-偏债
012057,鹏华品质成长混合A,混合型-偏股
012058,鹏华品质成长混合C,混合型-偏股
012060,富国全球消费精选混合(QDII)人民币A,QDII-混合偏股
012061,富国全球消费精选混合(QDII)美元,QDII-混合偏股
012062,富国全球消费精选混合(QDII)人民币C,QDII-混合偏股
012064,圆信永丰兴诺一年持有期混合,混合型-灵活
012065,嘉实民安添复一年持有期混合A,混合型-偏债
012066,嘉实民安添复一年持有期混合C,混合型-偏债
012067,嘉实蓝筹优势混合A,混合型-偏股
012068,嘉实蓝筹优势混合C,混合型-偏股
012069,天弘安康颐享12个月持有A,混合型-偏债
012070,天弘安康颐享12个月持有C,混合型-偏债
012071,中加喜利回报一年持有混合A,混合型-灵活
012072,中加喜利回报一年持有混合C,混合型-灵活
012073,华安均衡优选混合A,混合型-偏股
012074,华安均衡优选混合C,混合型-偏股
012075,易方达稳健添利混合A,混合型-平衡
012076,易方达稳健添利混合C,混合型-平衡
012077,易方达悦夏一年持有混合A,混合型-偏债
012078,易方达悦夏一年持有混合C,混合型-偏债
012079,信澳新能源精选混合A,混合型-偏股
012080,易方达中证500指数量化增强A,指数型-股票
012081,易方达中证500指数量化增强C,指数型-股票
012082,博时数字经济混合A,混合型-偏股
012083,博时数字经济混合C,混合型-偏股
012086,博时健康生活混合A,混合型-偏股
012087,博时健康生活混合C,混合型-偏股
012088,东方红锦和甄选18个月持有混合A,混合型-偏债
012089,东方红锦和甄选18个月持有混合C,混合型-偏债
012093,鹏华创新升级混合A,混合型-偏股
012094,鹏华创新升级混合C,混合型-偏股
012096,鑫元鑫动力混合A,混合型-偏股
012097,鑫元鑫动力混合C,混合型-偏股
012098,华夏成长机会一年持有混合,混合型-偏股
012099,华夏稳健增利滚动持有债A,债券型-混合二级
012100,华夏稳健增利滚动持有债C,债券型-混合二级
012101,中金金合债券,债券型-混合一级
012102,国寿安保低碳经济混合A,混合型-偏股
012103,国寿安保低碳经济混合C,混合型-偏股
012107,泓德瑞嘉三年持有期混合A,混合型-偏股
012108,泓德瑞嘉三年持有期混合C,混合型-偏股
012111,鹏华安颐混合A,混合型-偏债
012112,鹏华安颐混合C,混合型-偏债
012113,融通稳健增长一年持有期混合A,混合型-偏债
012114,融通稳健增长一年持有期混合C,混合型-偏债
012119,工银核心优势混合A,混合型-偏股
012120,工银核心优势混合C,混合型-偏股
012121,华夏永润六个月持有混合A,混合型-偏债
012122,华夏永润六个月持有混合C,混合型-偏债
012123,招商金安成长严选混合,混合型-偏股
012124,博道盛彦混合A,混合型-偏股
012125,博道盛彦混合C,混合型-偏股
012126,宏利新能源股票A,股票型
012127,宏利新能源股票C,股票型
012130,景顺长城先进智造混合A,混合型-偏股
012131,景顺长城先进智造混合C,混合型-偏股
012132,华泰保兴价值成长A,混合型-偏股
012137,景顺长城安瑞混合A,混合型-偏债
012138,景顺长城安益回报一年持有混合A,混合型-偏债
012139,景顺长城安益回报一年持有混合C,混合型-偏债
012140,太平丰泰一年定开债券发起式,债券型-混合二级
012143,新沃内需增长混合A,混合型-偏股
012144,新沃内需增长混合C,混合型-偏股
012145,中欧稳宁9个月持有债券A,债券型-混合二级
012146,中欧稳宁9个月持有债券C,债券型-混合二级
012147,富国大盘核心资产混合,混合型-偏股
012148,国投瑞银产业趋势混合A,混合型-偏股
012149,国投瑞银产业趋势混合C,混合型-偏股
012150,诺德价值发现一年持有混合,混合型-偏股
012153,博时研究慧选混合A,混合型-偏股
012154,博时研究慧选混合C,混合型-偏股
012155,汇添富成长先锋六个月持有混合A,混合型-偏股
012156,汇添富成长先锋六个月持有混合C,混合型-偏股
012157,汇添富上证50基本面增强指数A,指数型-股票
012158,汇添富上证50基本面增强指数C,指数型-股票
012159,财通资管健康产业混合A,混合型-偏股
012160,财通资管健康产业混合C,混合型-偏股
012161,安信招信一年持有混合A,混合型-偏债
012162,安信招信一年持有混合C,混合型-偏债
012170,华夏永顺一年持有混合A,混合型-偏债
012171,华夏永顺一年持有混合C,混合型-偏债
012173,国泰兴泽优选一年持有期混合A,混合型-偏股
012174,国泰兴泽优选一年持有期混合C,混合型-偏股
012175,易方达稳健增利混合A,混合型-平衡
012176,易方达稳健增利混合C,混合型-平衡
012177,华泰保兴价值成长C,混合型-偏股
012178,银华富饶精选三年持有期混合,混合型-偏股
012179,浦银创业板ETF联接A,指数型-股票
012180,浦银创业板ETF联接C,指数型-股票
012181,中银智能制造股票C,股票型
012182,广发沪港深精选混合A,混合型-偏股
012183,广发沪港深精选混合C,混合型-偏股
012184,大成创新趋势混合A,混合型-偏股
012185,大成创新趋势混合C,混合型-偏股
012186,招商品质成长混合A,混合型-偏股
012187,招商品质成长混合C,混合型-偏股
012188,华安优势龙头混合A,混合型-偏股
012189,华安优势龙头混合C,混合型-偏股
012191,中银恒泰9个月持有期债券A,债券型-混合二级
012192,中银恒泰9个月持有期债券C,债券型-混合二级
012193,泓德睿诚混合A,混合型-灵活
012194,泓德睿诚混合C,混合型-灵活
012195,万家瑞泽回报一年持有混合,混合型-偏债
012196,招商品质生活混合A,混合型-偏股
012197,招商品质生活混合C,混合型-偏股
012198,国金核心资产一年持有A,混合型-偏股
012199,国金核心资产一年持有C,混合型-偏股
012200,新华鑫科技3个月滚动持有灵活配置混合A,混合型-灵活
012201,新华鑫科技3个月滚动持有灵活配置混合C,混合型-灵活
012202,中加消费优选混合A,混合型-偏股
012203,中加消费优选混合C,混合型-偏股
012204,中银通利债券A,债券型-混合二级
012205,中银通利债券C,债券型-混合二级
012206,中泰沪深300量化优选增强A,指数型-股票
012207,中泰沪深300量化优选增强C,指数型-股票
012208,华夏港股前沿经济混合(QDII)A,QDII-混合偏股
012209,华夏港股前沿经济混合(QDII)C,QDII-混合偏股
012210,申万菱信智能汽车股票A,股票型
012211,申万菱信智能汽车股票C,股票型
012212,天弘中证高端装备制造指数增强A,指数型-股票
012213,天弘中证高端装备制造指数增强C,指数型-股票
012214,民生加银核心资产股票A,股票型
012215,民生加银核心资产股票C,股票型
012218,博时乐享混合A,混合型-偏债
012219,博时乐享混合C,混合型-偏债
012220,南方安泰混合C,混合型-偏债
012221,瑞达行业轮动混合A,混合型-偏股
012222,瑞达行业轮动混合C,混合型-偏股
012223,信澳成长精选混合A,混合型-偏股
012224,信澳成长精选混合C,混合型-偏股
012225,嘉实优势精选混合A,混合型-偏股
012226,嘉实优势精选混合C,混合型-偏股
012227,景顺长城港股通全球竞争力A,混合型-偏股
012228,景顺长城港股通全球竞争力C,混合型-偏股
012231,华安沣信债券A,债券型-混合二级
012232,华安沣信债券C,债券型-混合二级
012233,招商安盈债券C,债券型-混合二级
012234,华安聚弘精选混合A,混合型-偏股
012235,华安聚弘精选混合C,混合型-偏股
012236,中银持续增长混合C,混合型-偏股
012237,工银新价值灵活配置混合C,混合型-灵活
012238,工银养老产业股票C,股票型
012239,惠升优势企业一年持有期混合,混合型-灵活
