entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2020-09-29,2020-12-09,long,28500,13.16,15.21,58006.12,15.58,71,sz002185,sz002185,sz002185
2020-12-04,2020-12-14,long,16600,27.17,26.41,-13057.56,-2.8,10,sz002384,sz002384,sz002384
2020-12-04,2020-12-22,long,28900,14.94,13.76,-34508.19,-7.9,18,sz300502,sz300502,sz300502
2020-11-05,2020-12-29,long,13700,28.84,32.45,49024.8,12.52,54,sz000636,sz000636,sz000636
2021-01-05,2021-01-08,long,12900,33.13,30.8,-30461.83,-7.03,3,sz000636,sz000636,sz000636
2021-01-05,2021-01-11,long,41700,10.26,9.32,-39596.44,-9.16,6,sh603339,sh603339,sh603339
2021-01-05,2021-01-22,long,18600,22.97,24.79,33399.37,7.92,17,sz300476,sz300476,sz300476
2021-01-05,2021-01-28,long,11700,36.43,36.57,1210.54,0.38,23,sz300308,sz300308,sz300308
2021-02-03,2021-02-05,long,13200,31.66,29.32,-31282.75,-7.39,2,sz000636,sz000636,sz000636
2021-02-03,2021-02-05,long,137100,3.06,2.82,-33298.85,-7.84,2,sh600403,sh600403,sh600403
2021-02-03,2021-03-11,long,49400,8.48,8.41,-3874.32,-0.83,36,sh603339,sh603339,sh603339
2021-02-03,2021-03-11,long,20500,20.43,21.85,28669.35,6.95,36,sh600183,sh600183,sh600183
2021-03-11,2021-04-12,long,14500,28.12,28.38,3359.43,0.92,32,sz000636,sz000636,sz000636
2021-03-11,2021-04-12,long,35100,11.67,11.95,9411.01,2.4,32,sh601138,sh601138,sh601138
2021-04-12,2021-04-13,long,14900,28.38,26.38,-30200.51,-7.05,1,sz000636,sz000636,sz000636
2021-03-11,2021-04-27,long,39200,10.44,10.49,1549.28,0.48,47,sz300502,sz300502,sz300502
2021-04-12,2021-05-14,long,48100,8.52,8.31,-10503.24,-2.46,32,sh603339,sh603339,sh603339
2021-03-11,2021-05-14,long,35400,11.56,12.04,16570.03,4.15,64,sz002185,sz002185,sz002185
2021-06-15,2021-07-13,long,32800,12.41,14.74,75959.63,18.78,28,sz002185,sz002185,sz002185
2021-06-15,2021-07-14,long,75400,5.4,5.18,-16982.72,-4.07,29,sz000759,sz000759,sz000759
2021-06-15,2021-07-14,long,21100,19.23,20.93,35437.34,8.84,29,sz300476,sz300476,sz300476
2021-06-15,2021-07-28,long,16700,24.33,33.75,156789.7,38.72,43,sz000636,sz000636,sz000636
2021-07-14,2021-08-03,long,2700,175.57,211.35,96059.51,20.38,20,sh603986,sh603986,sh603986
2021-07-14,2021-08-09,long,27400,13.48,14.81,36045.32,9.87,26,sz300502,sz300502,sz300502
2021-07-14,2021-08-12,long,17600,26.86,26.32,-9969.61,-2.01,29,sh603228,sh603228,sh603228
2021-12-17,2021-12-22,long,5600,89.27,86.91,-13706.0,-2.64,5,sh605358,sh605358,sh605358
2021-12-17,2022-01-07,long,21200,23.51,21.69,-39053.47,-7.74,21,sz002879,sz002879,sz002879
2021-12-17,2022-01-07,long,17200,29.05,27.59,-25592.83,-5.03,21,sz300476,sz300476,sz300476
2021-12-17,2022-01-18,long,40500,12.35,12.54,7189.05,1.54,32,sh603339,sh603339,sh603339
2023-02-07,2023-02-17,long,47200,10.21,9.31,-42930.05,-8.81,10,sz002474,sz002474,sz002474
2023-02-07,2023-03-02,long,17100,28.22,28.29,713.54,0.25,23,sz002384,sz002384,sz002384
2023-02-07,2023-03-08,long,90200,5.35,5.18,-15805.07,-3.18,29,sz000759,sz000759,sz000759
2023-03-08,2023-04-07,long,27400,16.37,20.0,98938.87,22.17,30,sh600498,sh600498,sh600498
2023-03-08,2023-04-12,long,17500,26.84,26.98,1978.46,0.52,35,sz002384,sz002384,sz002384
2023-03-08,2023-04-17,long,52400,9.01,9.62,31467.9,6.77,40,sz002474,sz002474,sz002474
2023-04-07,2023-04-21,long,36100,14.22,13.22,-36586.27,-7.03,14,sh603339,sh603339,sh603339
2023-02-07,2023-05-11,long,106700,4.52,4.77,26172.71,5.53,93,sh600403,sh600403,sh600403
2023-05-11,2023-05-16,long,24600,20.25,18.75,-37370.48,-7.41,5,sz002463,sz002463,sz002463
2023-05-11,2023-05-19,long,22600,22.05,25.67,81252.31,16.42,8,sz300502,sz300502,sz300502
2023-05-11,2023-06-09,long,37500,13.28,16.34,114165.94,23.04,29,sh601138,sh601138,sh601138
2023-05-11,2023-06-09,long,9200,53.71,75.99,204328.14,41.48,29,sz300308,sz300308,sz300308
2023-08-10,2023-08-18,long,22200,26.53,25.34,-26987.15,-4.49,8,sz300502,sz300502,sz300502
2023-08-10,2023-08-25,long,28800,20.44,19.96,-14402.3,-2.35,15,sz002463,sz002463,sz002463
2023-08-10,2023-08-25,long,6600,88.35,80.71,-50969.29,-8.65,15,sz300308,sz300308,sz300308
2023-08-10,2023-09-07,long,28500,20.63,18.74,-54412.56,-9.16,28,sh601138,sh601138,sh601138
2024-05-27,2024-06-25,long,20200,27.33,30.28,58993.24,10.79,29,sz300476,sz300476,sz300476
