entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2021-03-11,2021-08-20,long,36300,4.243,3.885,-13139.67,-8.44,162,sh510710,sh510710,sh510710
2021-03-11,2021-08-20,long,107600,1.434,1.31,-13486.69,-8.65,162,sh510800,sh510800,sh510800
2020-08-31,2021-09-10,long,104000,1.42,1.422,60.16,0.14,375,sz159965,sz159965,sz159965
2021-03-11,2021-09-10,long,61200,2.52,2.588,4004.25,2.7,183,sz159910,sz159910,sz159910
2021-03-11,2021-09-10,long,133000,1.16,1.264,13667.35,8.97,183,sz159985,sz159985,sz159985
2021-03-11,2021-09-10,long,42200,3.651,3.563,-3864.89,-2.41,183,sh510020,sh510020,sh510020
2020-08-31,2021-09-10,long,39800,3.708,3.778,2636.33,1.89,375,sh510600,sh510600,sh510600
2023-04-07,2023-10-17,long,105300,1.433,1.315,-12566.98,-8.23,193,sh515900,sh515900,sh515900
2023-04-07,2023-10-17,long,123100,1.226,1.277,6122.47,4.16,193,sh517090,sh517090,sh517090
2023-04-07,2023-10-17,long,105900,1.426,1.425,-256.83,-0.07,193,sh513080,sh513080,sh513080
2023-04-07,2023-10-17,long,106500,1.418,1.31,-11644.39,-7.62,193,sh515600,sh515600,sh515600
2023-04-07,2023-10-17,long,82700,1.824,2.223,32821.71,21.87,193,sz159985,sz159985,sz159985
2023-04-07,2023-10-17,long,130800,1.154,1.263,14095.56,9.45,193,sz159930,sz159930,sz159930
2023-04-07,2023-10-17,long,105100,1.436,1.327,-11598.23,-7.59,193,sh515680,sh515680,sh515680
2023-04-07,2023-10-17,long,276000,0.547,0.597,13638.68,9.14,193,sh513360,sh513360,sh513360
2024-04-23,2024-10-31,long,27600,5.592,6.404,22240.05,14.52,191,sz159834,sz159834,sz159834
2024-04-23,2024-10-31,long,29300,5.267,6.073,23443.77,15.3,191,sz159934,sz159934,sz159934
2024-04-23,2024-10-31,long,29000,5.325,6.14,23462.85,15.31,191,sh518880,sh518880,sh518880
2024-04-23,2025-05-12,long,29100,5.311,7.389,60269.9,39.13,384,sh518850,sh518850,sh518850
2024-04-23,2025-05-12,long,29400,5.254,7.275,59218.37,38.47,384,sh518800,sh518800,sh518800
2024-10-31,2025-05-12,long,28900,6.158,7.37,34822.56,19.68,193,sh518860,sh518860,sh518860
2024-04-23,2025-05-12,long,29100,5.32,7.317,57914.3,37.54,384,sh518660,sh518660,sh518660
2024-10-31,2025-05-12,long,29700,6.001,7.65,48760.34,27.48,193,sz159830,sz159830,sz159830
2024-10-31,2025-05-12,long,28400,6.276,7.398,31662.66,17.88,193,sh518890,sh518890,sh518890
2024-04-23,2025-05-12,long,29100,5.31,7.345,59019.57,38.32,384,sz159937,sz159937,sz159937
2024-04-23,2025-05-12,long,29000,5.335,7.648,66871.98,43.36,384,sh518680,sh518680,sh518680
2025-11-13,2025-11-21,long,143300,1.505,1.398,-15537.27,-7.11,8,sz159326,sz159326,sz159326
2025-11-13,2026-05-26,long,266700,0.809,1.012,53883.73,25.09,194,sz159703,sz159703,sz159703
2025-11-13,2026-05-26,long,175000,1.233,1.357,21467.95,10.06,194,sz159824,sz159824,sz159824
2025-11-13,2026-05-26,long,324400,0.665,0.836,55215.07,25.71,194,sh516710,sh516710,sh516710
2025-11-13,2026-05-26,long,189600,1.138,1.233,17782.73,8.35,194,sh516660,sh516660,sh516660
2025-11-13,2026-05-26,long,211500,1.02,1.046,5279.15,2.55,194,sh562010,sh562010,sh562010
2025-11-13,2026-05-26,long,331900,0.65,0.813,53843.39,25.08,194,sz159763,sz159763,sz159763
2025-11-13,2026-05-26,long,309500,0.697,0.869,52978.35,24.68,194,sh516890,sh516890,sh516890
2026-05-26,2026-07-16,long,149000,1.653,1.51,-21537.32,-8.65,51,sz159335,sz159335,sz159335
2026-05-26,2026-07-16,long,148700,1.657,1.51,-22088.9,-8.87,51,sz159543,sz159543,sz159543
2026-05-26,2026-07-17,long,177900,1.385,1.244,-25311.48,-10.18,52,sz159778,sz159778,sz159778
2026-05-26,2026-07-17,long,210000,1.173,1.122,-10948.3,-4.35,52,sh588010,sh588010,sh588010
2026-05-26,2026-07-17,long,204100,1.207,1.136,-14726.58,-5.88,52,sh588160,sh588160,sh588160
2026-05-26,2026-07-20,long,93200,2.641,2.446,-18406.51,-7.38,55,sh588680,sh588680,sh588680
2026-05-26,2026-08-14,long,116600,2.112,2.135,2433.53,1.09,80,sh515860,sh515860,sh515860
2026-05-26,2026-08-14,long,100000,2.463,2.499,3351.0,1.46,80,sh513110,sh513110,sh513110
