date,code,rank,g1430,pull,p1430,p1445,prev_close,limit,note
2022-06-17,605298,20,-0.005892711691260821,0.0029638411381149865,16.87,16.92,16.969999313354492,0.1,
2022-07-15,002313,1,-0.04948807626399876,0.0,5.57,5.57,5.860000133514404,0.1,
2022-07-15,600665,2,-0.03174606106028299,-0.006557377049180357,3.05,3.03,3.1500000953674316,0.1,
2022-07-15,000809,3,0.00787403088478067,-0.003906250000000111,2.56,2.55,2.5399999618530273,0.1,
2022-07-15,002757,4,-0.02169985628490745,-0.005545286506469571,10.82,10.76,11.0600004196167,0.1,
2022-07-15,001209,5,-0.045755963341973294,0.0006949270326614965,14.39,14.4,15.079999923706055,0.1,
2022-07-15,600615,6,-0.02496716559539136,0.0040431266846361336,7.42,7.45,7.610000133514404,0.1,
2022-07-15,600113,7,-0.030303006282897393,0.0,6.72,6.72,6.929999828338623,0.1,
2022-07-15,600303,8,-0.029940094832062947,0.0092592592592593,3.24,3.27,3.3399999141693115,0.1,
2022-07-15,002798,9,-0.03662998727153299,-0.016476552598225558,7.89,7.76,8.1899995803833,0.1,
2022-07-15,002395,10,-0.021686769469691725,0.0,8.12,8.12,8.300000190734863,0.1,
2022-08-12,600665,1,0.009615421647857447,0.0,3.15,3.15,3.119999885559082,0.1,
2022-08-12,002394,2,-0.0013587137680701744,0.0,7.35,7.35,7.360000133514404,0.1,
2022-08-12,002133,3,0.009202456940032189,0.0,3.29,3.29,3.259999990463257,0.1,
2022-08-12,000608,4,0.010714302926647656,0.0,2.83,2.83,2.799999952316284,0.1,
2022-08-12,002187,5,2.6235882355507556e-09,0.004126547455295837,7.27,7.3,7.269999980926514,0.1,
2022-08-12,600748,6,0.008902111412369074,0.0,3.4,3.4,3.369999885559082,0.1,
2022-08-12,600512,7,0.0072727272727273196,0.0,2.77,2.77,2.75,0.1,
2022-08-12,600051,8,0.0014472001170355853,0.0,6.92,6.92,6.909999847412109,0.1,
2022-08-12,600708,9,0.004444444444444251,0.004424778761062065,2.26,2.27,2.25,0.1,
2022-08-12,600828,10,0.005988049803786533,-0.0029761904761904656,3.36,3.35,3.3399999141693115,0.1,
2022-08-12,601188,11,0.0033898142897101913,-0.0033783783783782884,2.96,2.95,2.950000047683716,0.1,
2022-08-12,600785,12,0.004299216256842264,-0.001712328767123239,11.68,11.66,11.630000114440918,0.1,
2022-08-12,600020,13,0.0033222623150919173,-0.0033112582781458233,3.02,3.01,3.009999990463257,0.1,
2022-08-12,605303,14,-0.0008305616183315045,-0.0008312551953449931,12.03,12.02,12.039999961853027,0.1,
2022-08-12,002110,15,0.001801767373238894,0.0017985611510793476,5.56,5.57,5.550000190734863,0.1,
2022-08-12,603839,16,0.007299284096867975,0.0,6.9,6.9,6.849999904632568,0.1,
2022-08-12,600693,17,0.005089041451162402,0.0,3.95,3.95,3.930000066757202,0.1,
2022-08-12,605287,18,-0.006606082489286957,-0.0033250207813798616,24.06,23.98,24.219999313354492,0.1,
2022-08-12,000850,19,0.002659577011198566,-0.0026525198938992522,3.77,3.76,3.759999990463257,0.1,
2022-08-12,002029,20,0.007490607915568104,0.0018587360594795044,5.38,5.39,5.340000152587891,0.1,
2022-09-09,605303,1,0.0017436558418122416,0.0,11.49,11.49,11.470000267028809,0.1,
2022-09-09,605069,2,-0.0009597002131215282,0.0019212295869355245,10.41,10.43,10.420000076293945,0.1,
2022-09-09,001218,3,-0.0008992702933449115,-0.0009000900090009312,22.22,22.2,22.239999771118164,0.1,
2022-09-09,603332,4,0.0007949186291409394,-0.001588562351072298,12.59,12.57,12.579999923706055,0.1,
2022-09-09,603365,5,0.0023328416892436366,0.0015515903801395226,12.89,12.91,12.859999656677246,0.1,
2022-09-09,603909,6,0.0015810578713717494,-0.0031570639305444903,12.67,12.63,12.649999618530273,0.1,
2022-09-09,605003,7,-0.0020523228110777003,0.0010282776349614942,19.45,19.47,19.489999771118164,0.1,
2022-09-09,603518,8,0.0013297897737831743,0.0013280212483399723,7.53,7.54,7.519999980926514,0.1,
2022-09-09,603716,9,0.002510476252192362,0.0,11.98,11.98,11.949999809265137,0.1,
2022-09-09,603159,10,0.0007604853049298921,0.001519756838905817,13.16,13.18,13.149999618530273,0.1,
2022-09-09,603590,11,0.0020325047867859602,0.0024340770791075883,24.65,24.71,24.600000381469727,0.1,
2022-09-09,605500,12,-0.007692271294677089,0.0019379844961240345,10.32,10.34,10.399999618530273,0.1,
2022-09-09,601566,13,-0.0012738732170770595,-0.0012755102040815647,7.84,7.83,7.849999904632568,0.1,
2022-09-09,605180,14,0.006748513379641663,0.0,16.41,16.41,16.299999237060547,0.1,
2022-09-09,002110,15,0.001897536832956126,0.0037878787878786735,5.28,5.3,5.269999980926514,0.1,
2022-09-09,603808,16,0.005470421750451315,-0.0032644178454841466,9.19,9.16,9.140000343322754,0.1,
2022-09-09,600301,17,0.00257729001652951,0.0017137960582689349,11.67,11.69,11.640000343322754,0.1,
2022-09-09,603278,18,0.0012255089184911583,-0.001223990208078285,8.17,8.16,8.15999984741211,0.1,
2022-09-09,605155,19,0.0064378011953265535,0.0,14.07,14.07,13.979999542236328,0.1,
2022-09-09,603168,20,0.003911332908428156,0.0012987012987013546,7.7,7.71,7.670000076293945,0.1,
2022-10-17,600382,1,0.011933160404945076,0.004716981132075304,4.24,4.26,4.190000057220459,0.1,
2022-10-17,000779,2,0.013745757623823573,-0.001129943502824804,8.85,8.84,8.729999542236328,0.1,
2022-10-17,601963,3,0.0014641400301098617,0.0029239766081872176,6.84,6.86,6.829999923706055,0.1,
2022-10-17,603518,4,0.010869556235649114,0.0,6.51,6.51,6.440000057220459,0.1,
2022-10-17,600676,5,0.010928938041331548,-0.002702702702702786,3.7,3.69,3.6600000858306885,0.1,
2022-10-17,605577,6,0.01189189189189177,0.0010683760683760646,9.36,9.37,9.25,0.1,
2022-10-17,603909,7,-0.007054687082136746,0.0,11.26,11.26,11.34000015258789,0.1,
2022-10-17,605069,8,0.019128603135672995,-0.004171011470281427,9.59,9.55,9.40999984741211,0.1,
2022-10-17,603332,9,0.006044911636885697,0.0,11.65,11.65,11.579999923706055,0.1,
2022-10-17,605003,10,0.009756055805813846,-0.0005367686527105731,18.63,18.62,18.450000762939453,0.1,
2022-10-17,605189,11,0.007808481138793288,0.0,19.36,19.36,19.209999084472656,0.1,
2022-10-17,600694,12,0.00730815609917701,0.002418379685610539,16.54,16.58,16.420000076293945,0.1,
2022-10-17,603980,13,0.004184056341799192,0.0,4.8,4.8,4.78000020980835,0.1,
2022-10-17,601528,14,0.004665656681538177,0.001547987616099089,6.46,6.47,6.429999828338623,0.1,
2022-10-17,605303,15,0.012357370397297895,-0.00187793427230043,10.65,10.63,10.520000457763672,0.1,
2022-10-17,605178,16,0.017712538819032675,-0.0004972650422674363,20.11,20.1,19.760000228881836,0.1,
2022-10-17,605100,17,0.017460286656325597,0.003900156006240163,12.82,12.87,12.600000381469727,0.1,
2022-10-17,601188,18,0.006944404432068785,0.0034482758620690834,2.9,2.91,2.880000114440918,0.1,
2022-10-17,000900,19,0.005089041451162402,0.0,3.95,3.95,3.930000066757202,0.1,
2022-10-17,002110,20,0.012269966288879663,0.002020202020202033,4.95,4.96,4.889999866485596,0.1,
2022-11-14,605081,1,,,,,,0.1,none
2022-11-14,605189,2,0.0005157612514883336,0.0,19.4,19.4,19.389999389648438,0.1,
2022-11-14,605319,3,0.006545454545454632,0.0014450867052022698,13.84,13.86,13.75,0.1,
2022-11-14,001218,4,1.465781873655203e-08,-0.00048030739673399214,20.82,20.81,20.81999969482422,0.1,
2022-11-14,002394,5,0.007082161136785281,0.0014064697609001975,7.11,7.12,7.059999942779541,0.1,
2022-11-14,603048,6,-0.0050000000000000044,-0.003140703517587995,15.92,15.87,16.0,0.1,
2022-11-14,603001,7,0.0015624850755560082,-0.0015600624024960652,6.41,6.4,6.400000095367432,0.1,
2022-11-14,603706,8,-0.0006911034446622777,0.0027662517289073207,14.46,14.5,14.470000267028809,0.1,
2022-11-14,603365,9,-0.002343764866236442,-0.000783085356303781,12.77,12.76,12.800000190734863,0.1,
2022-11-14,603949,10,-0.020134191698436443,-0.002490660024906499,16.06,16.02,16.389999389648438,0.1,
2022-11-14,603519,11,-0.004975158999091178,-0.0016666666666665941,12.0,11.98,12.0600004196167,0.1,
2022-11-14,603788,12,0.002673772928450724,-0.001777777777777767,11.25,11.23,11.220000267028809,0.1,
2022-11-14,600269,13,-0.0030580981605022872,0.0,3.26,3.26,3.2699999809265137,0.1,
2022-11-14,603192,14,-0.01343952964346351,-0.0015136226034309086,19.82,19.79,20.09000015258789,0.1,
