code,date,score
601086,2025-04-21,22.4540161778798
300051,2025-04-21,18.89881850049886
003020,2025-04-21,15.86095374547343
688313,2025-04-21,15.654027982798475
000965,2025-04-21,13.61103724710743
601086,2025-04-22,23.674477926965448
688313,2025-04-22,16.47763963062286
300773,2025-04-22,14.907415043010204
600794,2025-04-22,14.50766883081532
300542,2025-04-22,14.132037617037204
600794,2025-04-23,16.093466247784438
300773,2025-04-23,15.466359619583592
002251,2025-04-23,14.57261846296976
301613,2025-04-23,14.508342741792324
300542,2025-04-23,14.048121845538786
300542,2025-04-24,17.798716026759482
301509,2025-04-24,16.509780263418616
003020,2025-04-24,15.370650922192507
003003,2025-04-24,15.03184680494296
002289,2025-04-24,13.558526792490447
003003,2025-04-25,17.099816688250957
600505,2025-04-25,14.8820731998954
000965,2025-04-25,14.208560543585284
002537,2025-04-25,13.28390301627449
002251,2025-04-25,13.043704397943177
600644,2025-04-28,13.6220415617874
301209,2025-04-28,13.256314396120029
002251,2025-04-28,13.082326920142897
002289,2025-04-28,12.988788188165472
600051,2025-04-28,12.491722395182283
301209,2025-04-29,18.972504947011988
002915,2025-04-29,16.804869285043516
300548,2025-04-29,13.692373403215742
603065,2025-04-29,12.812992429121042
601086,2025-04-29,12.773532314649463
002915,2025-04-30,18.97014785158447
000565,2025-04-30,16.860681179389594
603086,2025-04-30,13.255610874374469
301209,2025-04-30,13.216643271886776
002229,2025-04-30,12.175267784580168
000565,2025-05-06,16.26459948565224
603586,2025-05-06,13.747573219124687
601086,2025-05-06,13.534301864159318
603086,2025-05-06,13.482183103410755
301209,2025-05-06,13.41768484079275
688280,2025-05-07,22.00286063229358
300879,2025-05-07,20.910393796594533
300884,2025-05-07,19.94973390413507
000565,2025-05-07,16.34092689670064
300507,2025-05-07,16.00086801345425
300095,2025-05-08,17.66558224834467
688159,2025-05-08,15.949386141435582
300994,2025-05-08,15.776815379484875
603610,2025-05-08,14.049715475283392
002190,2025-05-08,13.477517545890894
301317,2025-05-09,19.39586012194567
300095,2025-05-09,17.598947212601075
600855,2025-05-09,16.90006720156068
002977,2025-05-09,16.54413940932363
688448,2025-05-09,16.06171342754059
300946,2025-05-12,22.521310940133638
300879,2025-05-12,15.280323013401848
600448,2025-05-12,14.874064832314906
300609,2025-05-12,14.63650997428885
002190,2025-05-12,13.290539489086743
300946,2025-05-13,27.4161967690389
002977,2025-05-13,18.876909131740597
002190,2025-05-13,16.69596359697386
600448,2025-05-13,15.316271925432435
605055,2025-05-13,14.779588310938905
300946,2025-05-14,24.305160235500644
002651,2025-05-14,20.216120720472844
002190,2025-05-14,19.495541215237367
000576,2025-05-14,17.993955586774987
603332,2025-05-14,17.378334646728504
002190,2025-05-15,20.76844444062351
301559,2025-05-15,17.343953579457004
601022,2025-05-15,16.82742599968058
300879,2025-05-15,16.826500433841957
002289,2025-05-15,16.811839380663997
002190,2025-05-16,20.814175767117376
601022,2025-05-16,18.92971199540772
000565,2025-05-16,16.451709624349384
300946,2025-05-16,16.23557713764285
600770,2025-05-16,15.079176886850854
300946,2025-05-19,22.854443119612867
300879,2025-05-19,18.39607932440574
002190,2025-05-19,18.0121841156737
300489,2025-05-19,16.418621841160686
301488,2025-05-19,15.34048448573386
002190,2025-05-20,21.45473309642643
301112,2025-05-20,21.37302619501432
300489,2025-05-20,21.13740160058897
688336,2025-05-20,19.714592874336997
301316,2025-05-20,19.05176402177577
301112,2025-05-21,24.860313118703772
688336,2025-05-21,23.48161781315386
301316,2025-05-21,21.78324750291396
002811,2025-05-21,19.067830274170372
600770,2025-05-21,17.408170269790965
301316,2025-05-22,29.326112347708534
600770,2025-05-22,21.315775086122855
301105,2025-05-22,19.574267583264607
688336,2025-05-22,18.32133871709868
002431,2025-05-22,15.779228336322708
301316,2025-05-23,30.657079332331808
301007,2025-05-23,24.09983610782896
000695,2025-05-23,17.560149679765676
600137,2025-05-23,16.649116893636197
300584,2025-05-23,14.356347513965957
603332,2025-05-26,18.34683745563634
301316,2025-05-26,17.405022278167003
300210,2025-05-26,16.77467543190944
002289,2025-05-26,16.296761564726836
603192,2025-05-26,14.957005037379284
688455,2025-05-27,22.11926282892869
603607,2025-05-27,18.461915212466742
603192,2025-05-27,17.64034175861646
301137,2025-05-27,17.127859878275686
688648,2025-05-27,15.787270514741316
688455,2025-05-28,19.648748515984146
688648,2025-05-28,18.68812176944001
603390,2025-05-28,18.518215784818835
300575,2025-05-28,18.391901732981765
603333,2025-05-28,16.770614606698878
603390,2025-05-29,18.50540733310037
605136,2025-05-29,14.734689852284166
605388,2025-05-29,14.700995437707274
300815,2025-05-29,14.467836457796713
603333,2025-05-29,14.4266514559195
301024,2025-05-30,22.80356540874448
300546,2025-05-30,19.038890267600088
603056,2025-05-30,16.67170195653007
300815,2025-05-30,16.221427736373933
300682,2025-05-30,16.042974312761274
301024,2025-06-03,18.43144291749787
603056,2025-06-03,17.17847056101191
300546,2025-06-03,16.78995227428338
300204,2025-06-03,16.353659117426695
002898,2025-06-03,13.649913965820733
300651,2025-06-04,21.080312639985593
605005,2025-06-04,18.48869866644623
300204,2025-06-04,17.222618756162564
600468,2025-06-04,16.68375669298672
300691,2025-06-04,16.636444447900004
605005,2025-06-05,18.696468172834475
300651,2025-06-05,17.82217865208808
605099,2025-06-05,17.267102465705527
300204,2025-06-05,15.517998416313318
603093,2025-06-05,15.45567001688907
002951,2025-06-06,17.472535872580952
605099,2025-06-06,17.152492528016115
300651,2025-06-06,15.836621120604985
603226,2025-06-06,15.211184635374714
300204,2025-06-06,15.082366198197459
300204,2025-06-09,18.899063080049473
605099,2025-06-09,17.30772609848846
002951,2025-06-09,17.16946016382611
002250,2025-06-09,16.67484419741714
603818,2025-06-09,14.375459080907763
605099,2025-06-10,19.415546061127067
002250,2025-06-10,19.412524700884024
301287,2025-06-10,16.3596305910285
002940,2025-06-10,16.148695430992568
300149,2025-06-10,13.928489747627822
300804,2025-06-11,18.686992088368257
002940,2025-06-11,18.1196393418023
605099,2025-06-11,17.27220918827611
300834,2025-06-11,16.979372396522326
300204,2025-06-11,15.44494481078238
002940,2025-06-12,16.911095185637105
300204,2025-06-12,15.556500644436486
600980,2025-06-12,15.033933186651074
300237,2025-06-12,14.675681552867259
603003,2025-06-12,14.674634046369679
300204,2025-06-13,19.626037918374646
300191,2025-06-13,16.146512376691668
300164,2025-06-13,15.910219828549248
600366,2025-06-13,13.094414063481977
300798,2025-06-13,12.651262745732932
688291,2025-06-16,19.185143836837337
300204,2025-06-16,18.25774210234245
300875,2025-06-16,16.80475329872941
300157,2025-06-16,14.422017743711683
300164,2025-06-16,13.666285355279124
300753,2025-06-17,20.942963027076622
300204,2025-06-17,17.903379015813613
688658,2025-06-17,17.399266147399754
002940,2025-06-17,15.989284845979306
002207,2025-06-17,15.628624389497661
002207,2025-06-18,18.702314487844667
600722,2025-06-18,18.23777121222121
300204,2025-06-18,16.34763101392379
002015,2025-06-18,15.872398331294507
300164,2025-06-18,15.455534089842534
301176,2025-06-19,20.748159473301943
002017,2025-06-19,17.67417619454449
002207,2025-06-19,16.88038380512694
002015,2025-06-19,16.851454373485446
603151,2025-06-19,16.23188954505418
301292,2025-06-20,14.7548669722964
002207,2025-06-20,14.46014025913836
301176,2025-06-20,13.419006434422009
300483,2025-06-20,13.215046963122479
300204,2025-06-20,12.966244641295784
002490,2025-06-23,20.374597242760785
002207,2025-06-23,18.709381768438277
300164,2025-06-23,18.403469966577013
601975,2025-06-23,15.975382001306794
603209,2025-06-23,15.277595968406875
300698,2025-06-24,15.546387684267918
002125,2025-06-24,13.897207219579302
300801,2025-06-24,12.583011700060553
603155,2025-06-24,12.303793617323247
603928,2025-06-24,11.841188628299731
300801,2025-06-25,15.807629682555156
002125,2025-06-25,15.066755411451734
688591,2025-06-25,14.231376843736344
603928,2025-06-25,13.649417798507322
600110,2025-06-25,13.630711962627895
300399,2025-06-26,19.773988446772382
300169,2025-06-26,19.682111641588612
300591,2025-06-26,16.512636896158906
601606,2025-06-26,14.520211219894591
002263,2025-06-26,14.119140824070918
688047,2025-06-27,18.479987481280897
301022,2025-06-27,17.929939064425838
002263,2025-06-27,16.016834254934302
301607,2025-06-27,14.601088139845373
603022,2025-06-27,14.559562244851206
600241,2025-06-30,13.61314645546479
002579,2025-06-30,12.725834340756478
300414,2025-06-30,12.333041720744298
002015,2025-06-30,11.713209165245686
301357,2025-06-30,11.51333437467689
300324,2025-07-01,21.42128084785492
301345,2025-07-01,16.93982441539485
300472,2025-07-01,16.606796793611483
301129,2025-07-01,16.487829521158364
601606,2025-07-01,16.421186141816317
300478,2025-07-02,17.723472370846164
300810,2025-07-02,16.499702797092294
603316,2025-07-02,15.864127096728168
300527,2025-07-02,14.655353767683632
600319,2025-07-02,14.443403915461321
601003,2025-07-03,17.34532305184425
601218,2025-07-03,16.957454649532163
002658,2025-07-03,15.45275698822705
002623,2025-07-03,14.773515757966196
600192,2025-07-03,14.71980435092957
002623,2025-07-04,17.998872212990747
600537,2025-07-04,16.913142776668362
603716,2025-07-04,16.291686939377303
603936,2025-07-04,15.320241314789092
301150,2025-07-04,14.20740214579935
300915,2025-07-07,18.204011837618413
605500,2025-07-07,16.323773931727896
600744,2025-07-07,15.832334512053706
600983,2025-07-07,12.840944935993734
605162,2025-07-07,11.952738544413851
301193,2025-07-08,21.217629741918152
605500,2025-07-08,17.958082331052438
605162,2025-07-08,15.674619397212428
300915,2025-07-08,15.423983949229797
600744,2025-07-08,14.95383361500293
688585,2025-07-09,19.958460139011887
301261,2025-07-09,18.56123342971998
002636,2025-07-09,16.229898771548708
301526,2025-07-09,16.103621591638486
301217,2025-07-09,14.83538511274264
688585,2025-07-10,22.903818947029244
002636,2025-07-10,18.08587637085655
605500,2025-07-10,15.964339640882944
600475,2025-07-10,14.945273292325858
301120,2025-07-10,14.723694248375498
688585,2025-07-11,24.518890377874033
605122,2025-07-11,17.91079024521249
000514,2025-07-11,16.86073203750094
000607,2025-07-11,15.01539743267373
605500,2025-07-11,14.970191320009649
688585,2025-07-14,25.07929439290403
300950,2025-07-14,19.589812002640997
300226,2025-07-14,15.33844692980625
600173,2025-07-14,13.806810488913815
600606,2025-07-14,13.541555002630052
688585,2025-07-15,29.541499121901932
300502,2025-07-15,14.73609266658224
600826,2025-07-15,14.292021778387241
603176,2025-07-15,12.900077026689404
601609,2025-07-15,12.813843307289451
688585,2025-07-16,37.88855412572391
301012,2025-07-16,20.47303780046191
600826,2025-07-16,17.378010602603624
603176,2025-07-16,16.106521073027704
600822,2025-07-16,15.795388142960286
688585,2025-07-17,42.32209446027469
002209,2025-07-17,19.008758746085693
002329,2025-07-17,15.961552630594001
600513,2025-07-17,14.880750872193486
600620,2025-07-17,14.81922627071694
688585,2025-07-18,50.207911700418684
000705,2025-07-18,16.17385746054453
603115,2025-07-18,15.656385517431296
600826,2025-07-18,15.077256705702842
002265,2025-07-18,14.234108908828446
688585,2025-07-21,48.09429032858679
300865,2025-07-21,14.771867833782363
688425,2025-07-21,14.487595379554575
300564,2025-07-21,13.835657116050294
301151,2025-07-21,13.710079958722986
688585,2025-07-22,57.017845485627845
688425,2025-07-22,17.88164956817728
301161,2025-07-22,17.742176944819484
301151,2025-07-22,17.39731255350006
300564,2025-07-22,16.52598064807387
688585,2025-07-23,50.003341327649366
688425,2025-07-23,19.47592459973022
301151,2025-07-23,15.932958539137204
300036,2025-07-23,14.59457024037962
300865,2025-07-23,13.99455570084381
688585,2025-07-24,44.688795959248715
002266,2025-07-24,15.636959412434624
600528,2025-07-24,15.143570596627878
300955,2025-07-24,14.633042810662037
688425,2025-07-24,14.608264758322548
688585,2025-07-25,55.60798592196644
300329,2025-07-25,22.469305326724395
300877,2025-07-25,20.718922857776587
600117,2025-07-25,17.40056794110762
300086,2025-07-25,16.311284589787356
688585,2025-07-28,56.483559224338165
300528,2025-07-28,23.809933706818896
600749,2025-07-28,14.641357655942311
001226,2025-07-28,14.438983592073912
600288,2025-07-28,13.547082099865008
688585,2025-07-29,58.710095306990574
300528,2025-07-29,21.834854880614177
600749,2025-07-29,16.141775567457493
001226,2025-07-29,15.84382667548548
002644,2025-07-29,14.58406034172259
688585,2025-07-30,58.156561139146326
600749,2025-07-30,16.66777448583887
300528,2025-07-30,15.952857724455416
600117,2025-07-30,15.761787343965704
603367,2025-07-30,15.755259733253371
300289,2025-07-31,21.802584609847514
688110,2025-07-31,21.79910315165919
600749,2025-07-31,21.70456746198229
300528,2025-07-31,17.9030081739445
600579,2025-07-31,15.279178616054732
300289,2025-08-01,25.65967940662673
688189,2025-08-01,15.811852983878397
688110,2025-08-01,15.128832777910326
603059,2025-08-01,13.48995554374705
002097,2025-08-01,13.388796691112425
688110,2025-08-04,19.06996137620713
300486,2025-08-04,18.346126364627594
002287,2025-08-04,18.112517370390268
688788,2025-08-04,16.33108325967385
300289,2025-08-04,16.311920385691863
688585,2025-08-05,66.03333967718892
300486,2025-08-05,21.346250177371754
300554,2025-08-05,19.438358476543367
688788,2025-08-05,16.118824109440133
301322,2025-08-05,15.39578501460802
688585,2025-08-06,36.91011824409051
603059,2025-08-06,17.003581677081662
300731,2025-08-06,15.601304629142746
605169,2025-08-06,13.979582986451186
002148,2025-08-06,13.760326246407505
688585,2025-08-07,55.61679460231995
688108,2025-08-07,21.179081034128412
688110,2025-08-07,14.437362388842704
603059,2025-08-07,14.38240575067111
002046,2025-08-07,14.01180285516503
688585,2025-08-08,53.74081821326505
688108,2025-08-08,24.054333837367942
300289,2025-08-08,18.29046578505003
605169,2025-08-08,16.795207798185118
688551,2025-08-08,13.684499549451317
688585,2025-08-11,46.81594052220478
688108,2025-08-11,15.71595584405428
601929,2025-08-11,13.228185100775601
