code,date,regime,rsi,fwd20
002281,2023-10-30,bear,28.801287208366844,-0.05121880492091384
000670,2023-12-14,bear,30.851063829787236,-0.15122602739726027
000938,2023-12-28,bear,32.23140495867763,-0.09709498956158662
600697,2024-01-08,bear,32.8,-0.3381157053509382
600178,2024-01-16,bear,30.5013927576602,-0.2605392006149116
000029,2024-01-24,bear,33.7931034482759,0.055862428842504766
000798,2024-01-24,bear,34.873949579831944,-0.1410399515738498
001318,2024-01-24,bear,31.56146179401992,-0.07143431855500819
002116,2024-01-24,bear,34.29602888086639,-0.004801435406698463
600072,2024-01-24,bear,31.432973805855184,0.09679639012032955
600476,2024-01-24,bear,30.651340996168585,-0.024851134846461998
600651,2024-01-24,bear,32.110091743119256,-0.06855705705705699
600692,2024-01-24,bear,34.50704225352111,-0.07987606837606824
601611,2024-01-24,bear,34.61538461538467,0.08743455098934534
601882,2024-02-02,bear,30.371352785145888,0.29424712643678147
603032,2024-02-02,bear,31.352619233776394,0.21001162790697686
603901,2024-02-02,bear,32.235294117647044,0.09131385281385292
001373,2024-02-22,bear,34.806910569105696,0.11960276544895872
603963,2024-04-23,bear,31.741293532338318,-0.4475613810741688
600678,2024-04-24,bear,27.710843373493972,0.009928571428571353
001255,2024-04-25,bear,33.21100917431194,0.07200305498981659
600083,2024-04-26,bear,27.788279773156916,-0.41236206896551725
600083,2024-05-06,weak,21.669626998223805,-0.44348090692124115
600207,2024-06-18,bear,32.27513227513228,-0.1385588235294118
603863,2024-06-20,bear,23.733333333333334,0.050318181818181776
600158,2024-06-26,bear,27.853881278538836,-0.08170130994897955
603032,2024-06-26,bear,31.00616016427105,0.04434642233856885
603882,2024-06-26,bear,33.31216912296226,-0.0983232890704802
002271,2024-07-01,bear,34.90099009900989,-0.07371547799696503
601500,2024-07-31,bear,23.668639053254424,-0.10067197452229297
002130,2024-08-22,bear,34.06432748538012,-0.23644744218640473
600452,2024-08-22,bear,33.333333333333314,-0.05335022026431728
000953,2024-08-27,bear,34.46808510638297,0.14700144092219009
605358,2024-08-29,bear,26.10294117647058,0.2483958333333332
002488,2024-11-19,weak,26.067415730337004,0.038600200400801324
002372,2024-11-27,weak,25.313283208020067,-0.03607757296466978
002513,2024-11-27,weak,23.459715639810398,-0.21316666666666667
603063,2024-12-18,weak,30.37383177570092,0.5554087136929461
002774,2024-12-20,weak,31.164383561643817,-0.020710526315789447
000953,2024-12-27,weak,31.489361702127667,-0.08305322862129143
002476,2024-12-27,weak,31.65467625899288,-0.016087155963302947
603106,2024-12-27,weak,29.166666666666643,-0.02332033096926738
601211,2025-01-02,weak,21.768707482993094,-0.033883883603805495
002426,2025-01-03,weak,28.378378378378372,0.02553703703703698
002229,2025-01-07,weak,27.87136294027563,0.115390756302521
002354,2025-01-07,weak,18.539325842696613,0.570388246628131
002370,2025-01-07,weak,29.333333333333357,0.08912893081761004
002526,2025-01-07,weak,17.24137931034481,0.27967647058823514
002591,2025-01-07,weak,31.63636363636364,0.07303608247422695
002639,2025-01-07,weak,22.31404958677686,0.1566818181818182
600053,2025-01-07,weak,31.39013452914797,0.034537735849056464
000516,2025-01-14,weak,31.428571428571445,0.18217588932806322
002181,2025-01-14,weak,28.065395095367847,0.045298623063683444
002210,2025-01-14,weak,21.238938053097357,-0.0115
002576,2025-01-14,weak,31.24260355029587,0.12625874375446117
002667,2025-01-14,weak,27.87769784172663,0.048626582278481115
002856,2025-01-14,weak,24.328859060402664,0.01873516237402002
002995,2025-01-14,weak,29.26490984743411,0.17375996971226654
600228,2025-01-14,weak,31.297709923664115,-0.13250840336134445
600370,2025-01-14,weak,30.000000000000014,-7.142857142865625e-05
600571,2025-01-14,weak,28.47222222222223,0.14665485996705102
600679,2025-01-14,weak,22.86401925391094,-0.022211553175210442
600825,2025-01-14,weak,31.27572016460904,0.05527524429967452
600839,2025-01-14,weak,27.95454545454544,0.2742142857142856
603489,2025-01-14,weak,24.885635864592857,0.08814253798033962
603716,2025-01-14,weak,31.034482758620683,0.5177439372325251
605168,2025-01-14,weak,26.554013277006618,0.031630990415335195
600602,2025-03-31,weak,27.814569536423875,-0.04806003323639389
002409,2025-04-07,bear,26.422018348623837,0.045664206986736414
000678,2025-04-09,bear,26.502057613168716,0.463938596491228
002828,2025-04-09,bear,33.819241982507265,0.09988923654568212
603458,2025-04-09,bear,34.93589743589746,0.19556260032102718
002374,2025-04-11,weak,29.999999999999986,0.11561864406779672
002241,2025-04-16,weak,20.994001713796038,0.0795000000000002
002241,2025-04-17,weak,21.36006974716652,0.0757150644202181
002115,2025-04-18,weak,27.09359605911331,0.049891541609822745
002278,2025-04-18,weak,30.930232558139522,0.057781045751633967
600370,2025-04-21,weak,29.787234042553195,0.03688709677419351
002211,2025-04-25,weak,31.858407079646028,0.10571611721611725
605055,2025-06-11,weak,18.01566579634465,-0.11603806730769244
600706,2025-07-01,bull,30.504587155963307,0.026961538461538325
603139,2025-07-03,bull,27.701863354037272,-0.01989964633068091
603601,2025-07-28,bull,26.0,0.31000313152400844
002295,2025-08-01,weak,30.864197530864274,-0.019373982708933802
003023,2025-08-22,bull,30.47830923248054,-0.10566118421052621
605303,2025-09-12,bull,31.492537313432834,0.09071962616822422
601869,2025-10-21,weak,19.070749736008437,-0.07536903389439702
000681,2025-10-31,weak,31.058020477815745,0.05474319419237757
002431,2025-11-25,weak,28.28282828282829,-0.10961320754716979
601126,2025-11-25,weak,29.462738301559753,0.13396145081655902
002478,2025-11-28,weak,31.56028368794324,0.181666885676741
600939,2025-11-28,weak,31.788079470198667,-0.14762565445026182
002218,2025-12-05,weak,29.0,0.044055555555555584
605178,2025-12-08,weak,19.321744086634382,-0.03623250306963681
001309,2025-12-09,weak,29.360845495722216,0.07248499299371665
600537,2026-01-22,bull,21.226415094339615,0.31183333333333346
600219,2026-04-01,weak,27.92792792792791,-0.15092307692307688
600219,2026-04-02,weak,30.618892508143304,-0.12333144246353316
000533,2026-04-08,weak,22.99687825182103,-0.08482402234636881
002031,2026-04-08,weak,28.235294117647072,0.1689878048780487
002121,2026-04-08,weak,29.260450160771683,-0.08413294422827493
002173,2026-04-08,weak,31.325301204819255,-0.044195374800637774
002426,2026-04-08,weak,29.648241206030164,0.0980505617977528
002881,2026-04-08,weak,31.102096010818045,0.09298548812664927
603499,2026-04-08,weak,31.578947368421055,0.008393899204243892
002155,2026-06-02,bull,31.042382588774274,-0.04883322954091822
002930,2026-06-12,weak,16.887417218543035,-0.1890147928994083
605011,2026-06-23,weak,19.64956195244055,0.008118834080717518
601689,2026-06-30,bull,28.517254455821018,-0.20327596596951442
603201,2026-07-13,weak,24.30133791607254,0.17502482269503555
603612,2026-07-21,weak,28.333333333333343,0.05676801517066983
603048,2026-07-23,weak,23.5,0.34359950248756227
001696,2026-08-03,bear,34.51957295373664,-0.005578947368421062
600707,2026-08-04,bear,30.240549828178686,0.07304106280193252
