sym,code,name,mkt,list_date_s,end_date_s
sz002808,002808,恒久退,sz,2016-08-12,2026-07-14
sz002898,002898,赛隆退,sz,2017-09-12,2026-07-17
sz300023,300023,宝德退,sz,2009-10-30,2022-06-29
sz300028,300028,金亚退,sz,2009-10-30,2020-08-03
sz300029,300029,天龙退,sz,2009-12-25,2026-07-10
sz300038,300038,数知退,sz,2010-01-08,2022-06-30
sz300064,300064,金刚退,sz,2010-03-26,2022-06-27
sz300089,300089,文化退,sz,2010-06-25,2023-07-13
sz300090,300090,盛运退,sz,2010-06-25,2020-08-25
sz300104,300104,乐视退,sz,2010-08-12,2020-07-21
sz300108,300108,*ST吉药,sz,2010-08-25,2025-05-29
sz300116,300116,*ST保力,sz,2010-09-02,2024-07-25
sz300117,300117,*ST嘉寓,sz,2010-09-02,2025-04-30
sz300156,300156,神雾退,sz,2011-01-07,2020-08-25
sz300178,300178,腾邦退,sz,2011-02-15,2022-06-22
sz300186,300186,大华农,sz,2011-03-08,2015-11-02
sz300202,300202,聚龙退,sz,2011-04-15,2022-07-04
sz300208,300208,中程退,sz,2011-04-26,2025-07-21
sz300216,300216,千山退,sz,2011-05-11,2020-09-16
sz300262,300262,*ST巴安,sz,2011-09-16,2024-08-19
sz300273,300273,和佳退,sz,2011-10-26,2023-07-06
sz300280,300280,紫天退,sz,2011-12-29,2025-10-14
sz300282,300282,三盛退,sz,2011-12-29,2024-07-18
sz300297,300297,蓝盾退,sz,2012-03-15,2023-07-31
sz300309,300309,吉艾退,sz,2012-04-10,2023-05-30
sz300312,300312,邦讯退,sz,2012-05-08,2022-07-04
sz300325,300325,德威退,sz,2012-06-01,2022-06-28
sz300330,300330,计通退,sz,2012-06-19,2023-05-24
sz300336,300336,新文退,sz,2012-07-10,2023-07-05
sz300344,300344,立方退,sz,2012-08-01,2026-04-22
sz300356,300356,光一退,sz,2012-10-09,2023-07-13
sz300362,300362,天翔退,sz,2014-01-21,2021-08-30
sz300367,300367,网力退,sz,2014-01-29,2022-06-30
sz300372,300372,欣泰退,sz,2014-01-27,2017-08-28
sz300379,300379,东通退,sz,2014-01-28,2026-01-22
sz300391,300391,长药退,sz,2014-08-01,2026-04-13
sz300392,300392,腾信退,sz,2014-09-10,2023-07-10
sz300431,300431,暴风退,sz,2015-03-24,2020-11-10
sz300495,300495,*ST美尚,sz,2015-12-22,2024-09-20
sz300526,300526,中潜退,sz,2016-08-02,2023-07-12
sz300630,300630,普利退,sz,2017-03-28,2025-05-22
sz300742,300742,越博退,sz,2018-05-08,2024-07-22
sz300799,300799,左江退,sz,2019-10-29,2024-07-29
