code,entry_date,entry_px,exit_date,exit_px,ret,hold,regime,ex_b,ex_m
sh600126,2020-02-04,3.7916774999999996,2020-02-24,4.12,0.08034240781290092,14,bear,-0.10345545629787734,-0.03275720386612879
sh603306,2020-02-11,12.642277499999999,2020-02-21,13.69,0.0766479773917319,8,bear,-0.008132493549934283,0.02602546930606331
sz002787,2020-02-11,7.08048,2020-02-24,7.46,0.047542680722210795,9,bear,-0.05053375494780865,-0.007692316423346002
sh600787,2020-02-11,4.2543225,2020-02-24,4.29,0.002587956131675506,9,bear,-0.09548847953834394,-0.05264704101388129
sz002164,2020-02-11,3.5201249999999997,2020-02-24,3.75,0.05917758602322376,9,bear,-0.038898849646795686,0.003942588877666964
sh603530,2020-02-12,16.655219999999996,2020-02-21,18.13,0.08228846571825543,7,bear,0.015319565936195545,0.0427640827179987
sz002116,2020-02-14,5.833349999999999,2020-02-21,6.09,0.03799403430275916,5,bear,-0.037340996277513305,-0.017107916145969515
sz002261,2020-03-19,9.846292499999999,2020-03-25,11.2,0.1309434490190089,4,bear,0.1132173464361288,0.12008894996514607
sz002008,2020-03-26,27.627952499999996,2020-04-08,28.92,0.0407470477589682,8,bear,0.021119914793865213,0.04085070112029743
sz000030,2020-03-26,4.1135174999999995,2020-04-14,3.84,-0.07186003219872039,12,bear,-0.08589822415144566,-0.055744121017468506
sz002241,2020-03-26,16.25292,2020-04-07,18.3,0.11947730007900126,7,bear,0.10464713583952556,0.1224135209945475
sz002831,2020-03-26,13.71843,2020-04-08,14.08,0.02045496459871865,8,bear,0.000827831633615661,0.020558617960047876
sz002563,2020-03-26,4.5158175,2020-04-08,4.76,0.048011794099296345,8,bear,0.028384661134193356,0.04811544746062557
sz002622,2020-03-26,3.2787449999999994,2020-04-09,3.44,0.043149131756205605,9,bear,0.01472130071104294,0.03961346283371148
sh600223,2020-03-26,6.708352499999999,2020-04-08,6.58,-0.024773221144833935,8,bear,-0.044400354109936924,-0.02466956778350471
sz002273,2020-03-26,12.7227375,2020-04-07,12.8,0.0002878704366886531,7,bear,-0.014542293802787043,0.0032240913522348924
sz000639,2020-03-26,5.06898,2020-03-30,5.12,0.004257266747945465,2,bear,0.02991882699695858,0.032610654415428875
sh603348,2020-03-26,17.7112575,2020-04-14,16.86,-0.05353671245534097,12,bear,-0.06757490440806624,-0.03742080127408909
sz002536,2020-03-26,4.455472499999999,2020-04-08,4.64,0.03542778010637493,8,bear,0.01580064714127194,0.035531433467704154
sz002126,2020-03-26,8.36784,2020-04-09,8.62,0.024211146484636403,9,bear,-0.004216684560526263,0.020675477562142275
sz002058,2020-03-27,18.6566625,2020-04-21,18.18,-0.031152276030077863,16,bear,-0.05315971576868617,-0.005308241136593894
