code,entry_date,entry_px,exit_date,exit_px,ret,hold,regime,ex_b,ex_m
sz002495,2019-05-10,3.3390899999999997,2019-06-26,3.34,-0.005479037701888734,32,bear,-0.010343964579115017,0.05338923809429008
sz002125,2019-05-14,5.6020275,2019-06-13,5.87,0.04180986258992836,21,bear,0.04332002710634397,0.08254540570378521
sz002528,2019-05-14,4.204034999999999,2019-05-30,4.26,0.007485665557018573,12,bear,0.007893583346714306,0.032627079146943405
sz002645,2019-05-14,5.43105,2019-05-28,5.5,0.0068725200467680825,10,bear,0.0063760230367257975,0.02501512282696039
sz000626,2019-05-15,9.41382,2019-06-25,8.31,-0.12233105158161084,28,bear,-0.11748775337595385,-0.0647980605248537
sh603005,2019-05-15,6.466972499999999,2019-05-24,6.74,0.03622599292018047,7,bear,0.08503227939076241,0.09273083062048104
sh600365,2019-05-16,5.18967,2019-06-25,5.47,0.04795632477594913,27,bear,0.060630670916445806,0.11072732306423705
sh603002,2019-05-16,3.54024,2019-05-28,3.5,-0.017051103879962892,8,bear,0.011573072726512312,0.023141113679999936
sh600273,2019-05-17,8.52876,2019-05-30,7.86,-0.08371146567613585,9,bear,-0.09021433698818726,-0.0750619208992579
sh601108,2019-05-17,8.9612325,2019-05-29,8.86,-0.016981760042494187,8,bear,-0.029270933079251327,-0.016662891359928156
sh600963,2019-06-12,3.4798949999999995,2019-06-26,3.52,0.0057085055727257306,10,bear,-0.021641940242563384,0.001660220824301506
sz002265,2019-06-12,10.0675575,2019-06-25,11.77,0.16237950466138384,9,bear,0.13593576045467537,0.15833121991295962
sh603718,2019-06-12,12.521587499999999,2019-06-26,13.63,0.0822611350198208,10,bear,0.05491068920453168,0.07821285027139657
sh600072,2019-06-12,11.797447499999999,2019-06-26,12.5,0.05345880962809968,10,bear,0.026108363812810564,0.049410524879675455
sz002054,2019-06-12,7.341974999999999,2019-06-25,7.81,0.05762992927652322,9,bear,0.031186185069814742,0.05358164452809899
sh601777,2019-06-12,4.18392,2019-06-26,4.42,0.050351106139696844,10,bear,0.02300066032440773,0.04630282139127262
sz000717,2019-06-12,3.8117924999999997,2019-06-25,3.97,0.0355160990531358,9,bear,0.009072354846427322,0.03146781430471157
sh601890,2019-06-12,5.451165,2019-06-26,5.84,0.06517047273381005,10,bear,0.03782002691852093,0.06112218798538582
sz000650,2019-06-12,6.39657,2019-07-29,6.04,-0.061173410124488625,33,bear,-0.07113300858861649,-0.0039130334397906585
sh600664,2019-06-12,3.9928274999999998,2019-06-25,4.05,0.008486467296671352,9,bear,-0.017957276910037123,0.004438182548247127
sz000958,2019-06-12,5.4008775,2019-06-26,5.79,0.06588373833696481,10,bear,0.0385332925216757,0.06183545358854059
sh600822,2019-06-12,10.6106625,2019-06-27,11.37,0.06540213676572959,11,bear,0.03145460820000778,0.05850135002996537
sh600126,2020-02-04,3.7916774999999996,2020-02-24,4.12,0.08034240781290092,14,bear,-0.10345545629787734,-0.03275720386612879
sh603306,2020-02-11,12.642277499999999,2020-02-21,13.69,0.0766479773917319,8,bear,-0.008132493549934283,0.02602546930606331
sz002787,2020-02-11,7.08048,2020-02-24,7.46,0.047542680722210795,9,bear,-0.05053375494780865,-0.007692316423346002
sh600787,2020-02-11,4.2543225,2020-02-24,4.29,0.002587956131675506,9,bear,-0.09548847953834394,-0.05264704101388129
sz002164,2020-02-11,3.5201249999999997,2020-02-24,3.75,0.05917758602322376,9,bear,-0.038898849646795686,0.003942588877666964
sh603530,2020-02-12,16.655219999999996,2020-02-24,17.94,0.07094622586792632,8,bear,-0.009100325326347525,0.026858077283766102
sz002116,2020-02-14,5.833349999999999,2020-02-24,6.06,0.03288076319781941,6,bear,-0.055634460998352786,-0.026853342155318316
sz002261,2020-03-19,9.846292499999999,2020-03-25,11.2,0.1309434490190089,4,bear,0.1132173464361288,0.12008894996514607
sz002008,2020-03-26,27.627952499999996,2020-04-09,29.48,0.06089982600049715,9,bear,0.03247199495533448,0.05736415707800302
sz000030,2020-03-26,4.1135174999999995,2020-05-22,3.52,-0.14920502951549364,37,bear,-0.14799649262233838,-0.05599934112962124
sz002241,2020-03-26,16.25292,2020-04-07,18.3,0.11947730007900126,7,bear,0.10464713583952556,0.1224135209945475
sz002831,2020-03-26,13.71843,2020-04-08,14.08,0.02045496459871865,8,bear,0.000827831633615661,0.020558617960047876
sz002563,2020-03-26,4.5158175,2020-04-09,4.85,0.06782714314739247,9,bear,0.0393993121022298,0.06429147422489834
