cfg,n,wr,med,mean,ann,sharpe,pf,hold,ex_b,ex_m,max_dd,gate,yearly
E4_动量10_X3_tp8sl7_kh,19165,39.56,-2.528,-1.375,-49.16,-1.152,1.04,5.2,-1.586,-0.194,100.0,0,"{2016: np.float64(-1.67), 2017: np.float64(-1.99), 2018: np.float64(-4.56), 2019: np.float64(-1.19), 2020: np.float64(-1.54), 2021: np.float64(-0.98), 2022: np.float64(-0.78), 2023: np.float64(-1.43), 2024: np.float64(-1.48), 2025: np.float64(-0.59), 2026: np.float64(-1.82)}"
E4_动量10_X3_tp8sl7_pure,197807,40.66,-1.389,-0.962,-34.63,-0.809,1.09,5.7,-1.21,0.333,100.0,0,"{2016: np.float64(-1.54), 2017: np.float64(-1.72), 2018: np.float64(-3.56), 2019: np.float64(-0.54), 2020: np.float64(-1.34), 2021: np.float64(-1.03), 2022: np.float64(-0.58), 2023: np.float64(-1.42), 2024: np.float64(-0.13), 2025: np.float64(-0.49), 2026: np.float64(-1.21)}"
E4_动量10_X4_ma5_kh,19603,31.18,-2.258,-1.294,-77.18,-1.99,1.32,2.2,-1.456,-0.818,100.0,0,"{2016: np.float64(-1.36), 2017: np.float64(-1.59), 2018: np.float64(-3.0), 2019: np.float64(-1.22), 2020: np.float64(-1.44), 2021: np.float64(-0.93), 2022: np.float64(-0.85), 2023: np.float64(-1.32), 2024: np.float64(-1.42), 2025: np.float64(-1.12), 2026: np.float64(-0.97)}"
E4_动量10_X4_ma5_pure,269948,28.74,-1.783,-1.082,-75.8,-2.227,1.4,1.9,-1.223,-0.651,100.0,0,"{2016: np.float64(-1.45), 2017: np.float64(-1.43), 2018: np.float64(-2.11), 2019: np.float64(-0.85), 2020: np.float64(-1.3), 2021: np.float64(-1.18), 2022: np.float64(-1.27), 2023: np.float64(-1.22), 2024: np.float64(-0.42), 2025: np.float64(-1.16), 2026: np.float64(-0.95)}"
E5_动量20_X1_rsi75_kh,8224,48.91,-0.192,-0.707,-5.72,-0.138,0.91,30.3,-2.476,4.314,100.0,0,"{2016: np.float64(-2.39), 2017: np.float64(-4.63), 2018: np.float64(-5.36), 2019: np.float64(-2.63), 2020: np.float64(-0.53), 2021: np.float64(-2.29), 2022: np.float64(2.67), 2023: np.float64(-2.84), 2024: np.float64(2.39), 2025: np.float64(1.01), 2026: np.float64(-5.25)}"
E5_动量20_X1_rsi75_pure,76772,47.56,-0.354,-0.625,-5.68,-0.137,0.96,27.0,-1.771,4.125,100.0,0,"{2016: np.float64(-2.27), 2017: np.float64(-4.27), 2018: np.float64(-2.26), 2019: np.float64(-0.86), 2020: np.float64(-0.34), 2021: np.float64(-1.87), 2022: np.float64(0.77), 2023: np.float64(-2.75), 2024: np.float64(1.58), 2025: np.float64(1.05), 2026: np.float64(-2.69)}"
E5_动量20_X2_tp8_kh,8348,53.07,0.682,-0.552,-5.62,-0.142,0.78,24.1,-2.108,3.362,100.0,0,"{2016: np.float64(-2.16), 2017: np.float64(-3.73), 2018: np.float64(-4.71), 2019: np.float64(-1.68), 2020: np.float64(-0.43), 2021: np.float64(-1.8), 2022: np.float64(1.95), 2023: np.float64(-2.54), 2024: np.float64(1.82), 2025: np.float64(0.8), 2026: np.float64(-4.22)}"
E5_动量20_X2_tp8_pure,83953,51.93,0.317,-0.582,-6.58,-0.166,0.8,21.6,-1.55,3.222,100.0,0,"{2016: np.float64(-1.97), 2017: np.float64(-3.77), 2018: np.float64(-2.28), 2019: np.float64(-0.65), 2020: np.float64(-0.44), 2021: np.float64(-1.37), 2022: np.float64(0.66), 2023: np.float64(-2.46), 2024: np.float64(1.19), 2025: np.float64(0.69), 2026: np.float64(-2.28)}"
E5_动量20_X3_tp8sl7_kh,8480,38.0,-2.539,-1.611,-73.09,-1.792,1.02,3.1,-1.75,-0.865,100.0,0,"{2016: np.float64(-1.48), 2017: np.float64(-1.7), 2018: np.float64(-3.59), 2019: np.float64(-1.14), 2020: np.float64(-1.64), 2021: np.float64(-1.15), 2022: np.float64(-0.69), 2023: np.float64(-1.78), 2024: np.float64(-2.54), 2025: np.float64(-0.89), 2026: np.float64(-1.57)}"
E5_动量20_X3_tp8sl7_pure,95405,39.85,-1.774,-1.155,-51.73,-1.14,1.07,4.0,-1.318,-0.157,100.0,0,"{2016: np.float64(-1.86), 2017: np.float64(-2.01), 2018: np.float64(-3.32), 2019: np.float64(-0.64), 2020: np.float64(-1.45), 2021: np.float64(-1.32), 2022: np.float64(-1.13), 2023: np.float64(-1.78), 2024: np.float64(-0.63), 2025: np.float64(-0.99), 2026: np.float64(-1.09)}"
E5_动量20_X4_ma5_kh,8537,32.83,-2.481,-1.576,-89.08,-2.584,1.15,1.8,-1.609,-1.088,100.0,0,"{2016: np.float64(-1.18), 2017: np.float64(-1.4), 2018: np.float64(-2.8), 2019: np.float64(-1.26), 2020: np.float64(-1.5), 2021: np.float64(-0.93), 2022: np.float64(-1.07), 2023: np.float64(-1.71), 2024: np.float64(-2.59), 2025: np.float64(-1.13), 2026: np.float64(-0.96)}"
E5_动量20_X4_ma5_pure,112057,31.25,-1.954,-1.252,-83.45,-2.358,1.25,1.8,-1.289,-0.747,100.0,0,"{2016: np.float64(-1.49), 2017: np.float64(-1.54), 2018: np.float64(-2.4), 2019: np.float64(-1.14), 2020: np.float64(-1.42), 2021: np.float64(-1.13), 2022: np.float64(-1.62), 2023: np.float64(-1.6), 2024: np.float64(-0.97), 2025: np.float64(-1.26), 2026: np.float64(-0.93)}"
E6_多头新高_X1_rsi75_kh,11572,52.86,0.586,-0.784,-5.81,-0.156,0.76,33.1,-1.831,5.095,100.0,0,"{2016: np.float64(-2.21), 2017: np.float64(-6.59), 2018: np.float64(-2.59), 2019: np.float64(-2.58), 2020: np.float64(-0.05), 2021: np.float64(-1.48), 2022: np.float64(0.69), 2023: np.float64(-1.78), 2024: np.float64(2.79), 2025: np.float64(2.05), 2026: np.float64(-3.58)}"
E6_多头新高_X1_rsi75_pure,65875,48.61,-0.172,-0.684,-6.71,-0.178,0.89,24.9,-1.53,3.786,100.0,0,"{2016: np.float64(-1.4), 2017: np.float64(-4.25), 2018: np.float64(-2.84), 2019: np.float64(-0.83), 2020: np.float64(-0.37), 2021: np.float64(-1.43), 2022: np.float64(0.31), 2023: np.float64(-1.95), 2024: np.float64(1.53), 2025: np.float64(1.15), 2026: np.float64(-2.73)}"
E6_多头新高_X2_tp8_kh,11729,55.96,1.123,-0.649,-5.58,-0.155,0.68,28.5,-1.562,4.433,100.0,0,"{2016: np.float64(-2.01), 2017: np.float64(-5.82), 2018: np.float64(-2.67), 2019: np.float64(-1.91), 2020: np.float64(0.16), 2021: np.float64(-1.5), 2022: np.float64(0.86), 2023: np.float64(-1.71), 2024: np.float64(2.28), 2025: np.float64(1.64), 2026: np.float64(-2.7)}"
