,0
2022-06-02,175714.14406576141
2022-06-06,179094.14155759796
2022-06-07,178125.14400758728
2022-06-08,180040.14278926834
2022-06-09,177510.14259138092
2022-06-10,179343.14189233765
2022-06-13,178392.14186944946
2022-06-14,179581.14195146546
2022-06-15,181182.14123525604
2022-06-16,180312.14337625488
2022-06-17,180191.14275255188
2022-06-20,182114.6579182243
2022-06-21,183315.65643907542
2022-06-22,182395.65984369273
2022-06-23,183633.65909219737
2022-06-24,184381.65787816996
2022-06-27,185737.65849233622
2022-06-28,188866.65805936808
2022-06-29,188049.6600306129
2022-06-30,188900.65869451518
2022-07-01,189925.65938592906
2022-07-04,189566.65922761912
2022-07-05,186737.66085268016
2022-07-06,186390.66051603312
2022-07-07,186411.6592800712
2022-07-08,188433.65701795573
2022-07-11,188702.65761972422
2022-07-12,189579.6581184959
2022-07-13,193239.65984941478
2022-07-14,189658.66061807628
2022-07-15,181696.65881753917
2022-07-18,181106.32793842407
2022-07-19,183160.32783924195
2022-07-20,183970.32792507263
2022-07-21,184167.3273318872
2022-07-22,185139.32716785523
2022-07-25,184326.32758556458
2022-07-26,185461.328052865
2022-07-27,185817.32623516174
2022-07-28,187846.32856784912
2022-07-29,186311.32848201843
2022-08-01,185213.32814632508
2022-08-02,181503.3281081781
2022-08-03,181437.32745586487
2022-08-04,182551.32811008545
2022-08-05,184303.3286803827
2022-08-08,184458.3260291681
2022-08-09,184160.32783924195
2022-08-10,183544.32780681702
2022-08-11,185566.32735668274
2022-08-12,186418.32840381714
2022-08-15,184543.02315559966
2022-08-16,187155.02264347655
2022-08-17,187894.0217241345
2022-08-18,185049.02217236144
2022-08-19,185339.0232547818
2022-08-22,187344.02227249724
2022-08-23,187259.0226635037
2022-08-24,185406.02333393676
2022-08-25,187343.02141514403
2022-08-26,185799.02181473357
2022-08-29,187129.0225967465
2022-08-30,188862.0219215451
2022-08-31,186395.0224145947
2022-09-01,189115.02237167937
2022-09-02,189125.0224336682
2022-09-05,189836.02075424773
2022-09-06,191718.02129593474
2022-09-07,190743.0222257672
2022-09-08,189599.02078953368
2022-09-09,191849.02350750548
2022-09-13,192090.65176661566
2022-09-14,190748.652140456
2022-09-15,190144.65243037298
2022-09-16,188894.6506660755
2022-09-19,189709.65272601202
2022-09-20,190865.65300639227
2022-09-21,191761.65148432806
2022-09-22,191412.65217478827
2022-09-23,189336.6515796955
2022-09-26,188600.65180476263
2022-09-27,190367.6502388294
2022-09-28,187199.6504467304
2022-09-29,186266.65097888067
2022-09-30,184179.65122874334
2022-10-10,182553.65096743658
2022-10-11,182561.65215190008
2022-10-12,184300.6529014881
2022-10-13,183967.65157397345
2022-10-14,185946.6520469959
2022-10-17,188155.65201457098
2022-10-18,187290.1310061754
2022-10-19,186153.1297063173
2022-10-20,184941.1302184404
2022-10-21,184178.12875264298
2022-10-24,179226.12908833634
2022-10-25,178582.12890380036
2022-10-26,181022.1277212442
2022-10-27,181329.12778609406
2022-10-28,175371.12972491395
2022-10-31,175256.1294650377
2022-11-01,181312.1285294832
2022-11-02,183191.12870448243
2022-11-03,184476.12997048508
2022-11-04,188651.13053076874
2022-11-07,190573.13213103425
2022-11-08,189874.1306995691
2022-11-09,191312.1303414644
2022-11-10,191785.13015263688
2022-11-11,196706.13180153977
2022-11-14,200692.13067048203
2022-11-15,205961.6160467463
2022-11-16,205018.6147764521
2022-11-17,205842.6140859919
2022-11-18,205453.61579211525
2022-11-21,206689.61592467598
2022-11-22,203613.61366065315
2022-11-23,204005.61433585457
2022-11-24,205958.61564429573
2022-11-25,203606.6165998774
2022-11-28,202071.616633256
2022-11-29,205654.61531432442
2022-11-30,207019.61644442848
2022-12-01,210531.6155269938
2022-12-02,211951.61615165047
2022-12-05,213126.61667617134
2022-12-06,212069.61391719154
2022-12-07,211846.61448748878
2022-12-08,211184.61650164894
2022-12-09,210392.6151111918
2022-12-12,209751.6147688227
2022-12-13,206961.26471474016
2022-12-14,207698.2639403566
2022-12-15,210183.26474144304
2022-12-16,205856.26488640154
2022-12-19,201878.26579525316
2022-12-20,204502.2651286348
2022-12-21,201590.26611759508
2022-12-22,197868.26578094804
2022-12-23,195512.26337864244
2022-12-26,202625.2639146074
2022-12-27,204134.26288082445
2022-12-28,200708.26257183397
2022-12-29,199411.26419021928
2022-12-30,199043.2632060274
2023-01-03,204762.26428463304
2023-01-04,204358.2641453966
2023-01-05,207772.26615860307
2023-01-06,209509.26569416368
2023-01-09,210737.26392700517
2023-01-10,210282.26540996874
2023-01-11,210304.2913440121
2023-01-12,210040.29049905666
2023-01-13,211195.29228242763
2023-01-16,213878.29101117977
2023-01-17,212789.2904046429
2023-01-18,214882.29136499294
2023-01-19,215486.29033597835
2023-01-20,217887.28830846676
2023-01-30,222000.28963121303
2023-01-31,223933.29279455074
2023-02-01,226940.28892549404
2023-02-02,227677.29055913814
