code,buy,gap,f_aro,f_mom,f_m200,f_r20,f_vpc,f_amt20,f_adx,f_dh,amt20_T1,rp,amt_c,base_net,base_why,base_sell,tp4_tp_t2,tp4_tp_t1,tp5_tp_t2,tp5_tp_t1,tp6_tp_t2,tp6_tp_t1,tp7_tp_t2,tp7_tp_t1,tp8_tp_t2,tp8_tp_t1,tp9_tp_t2,tp9_tp_t1,tp10_tp_t2,tp10_tp_t1,tp12_tp_t2,tp12_tp_t1,s_zt,s_lb,s_zpl,s_gate,E0_sell,year
sz002575,2026-06-10,-0.024311183144246407,48.0,-0.2045197740112994,-0.1469004279324434,-0.12853107344632775,0,400804223.8,14.141083939075084,0.3067415730337079,400804223.8,0.18507462686567164,380207326.0,-0.027887998338870346,ts,2026-06-11,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,-0.027887998338870346,87.0,3.0,0.23008849557522124,0.0,2026-06-11,2026
sz002584,2019-07-18,-0.020146520146520186,16.0,-0.7236180904522613,-0.11411094705758285,0.08982035928143706,0,65181349.1,12.692559311240222,0.34532374100719426,65181349.1,0.18413597733711057,78756478.0,-0.05026941004672891,ts,2019-07-19,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,-0.05026941004672891,21.0,8.0,0.34375,0.0,2019-07-19,2019
sz002584,2022-04-15,-0.02178649237472763,84.0,0.9274047186932848,0.17521299135232682,-0.17148014440433212,0,590065631.9,20.732767924526932,0.325,590065631.9,0.17537313432835813,538231252.0,-0.04559248503619151,ts,2022-04-18,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,-0.04559248503619151,56.0,5.0,0.3170731707317073,0.0,2022-04-18,2022
sz002588,2022-05-06,-0.02645502645502651,36.0,0.17829457364341073,0.04117890097782695,-0.06743421052631582,0,356894380.5,25.487719677320193,0.15246636771300454,356894380.5,0.4269662921348313,299012638.0,0.06761543749999999,tp,2022-05-09,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.047844781250000024,0.047844781250000024,0.057730109375000005,0.057730109375000005,0.06761543749999999,0.06761543749999999,0.07270136718750009,0.07270136718750009,0.07270136718750009,0.07270136718750009,0.07270136718750009,0.07270136718750009,114.0,7.0,0.3372093023255814,0.0,2022-05-09,2022
sz002591,2022-06-10,-0.02583025830258301,-24.0,0.011705685618728978,-0.0008479887918004803,-0.1861861861861862,0,124130426.45,11.974017775545972,0.1861861861861862,124130426.45,0.48117154811715485,71111970.0,-0.039550506036931776,ts,2022-06-13,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,-0.039550506036931776,32.0,8.0,0.42857142857142855,1.0,2022-06-13,2022
sz002596,2022-04-28,-0.030470914127423754,44.0,-0.2992424242424242,-0.06237419321325166,0.016901408450704203,0,903314770.45,27.284322395117893,0.4149108589951378,903314770.45,0.15511551155115505,798220718.0,0.013952227678571294,ts,2022-04-29,0.02807412500000006,0.02807412500000006,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,0.013952227678571294,124.0,4.0,0.39805825242718446,0.0,2022-04-29,2022
sz002599,2022-03-08,-0.033557046979865834,-28.0,0.4917127071823204,0.03272311411070583,0.10780669144981414,0,123309051.0,14.306783537425456,0.2623762376237624,123309051.0,0.2508833922261484,267893088.0,0.04173509928385433,ts,2022-03-09,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.047844781250000024,0.047844781250000024,0.04173509928385433,0.04173509928385433,0.04173509928385433,0.04173509928385433,0.04173509928385433,0.04173509928385433,0.04173509928385433,0.04173509928385433,0.04173509928385433,0.04173509928385433,30.0,5.0,0.4230769230769231,0.0,2022-03-09,2022
sz002605,2020-04-01,-0.02984496124031011,64.0,3.072108843537415,0.604128454627413,-0.1493570722057368,0,424293637.85,20.480263832731392,0.3221229637414609,424293637.85,0.4238721804511278,817865848.0,0.005515198012385092,ts,2020-04-02,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,0.005515198012385092,49.0,4.0,0.3466666666666667,0.0,2020-04-02,2020
sz002605,2022-05-26,-0.026722925457102753,32.0,-0.29209621993127155,-0.17307792955461332,0.01644031451036465,1,65571482.75,16.416559972775723,0.26359399274987044,65571482.75,0.2810734463276837,152622262.0,-0.0250380859374999,ts,2022-05-27,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,-0.0250380859374999,78.0,9.0,0.2972972972972973,1.0,2022-05-27,2022
sz002606,2018-03-14,-0.03124999999999989,48.0,-0.3300124533001245,-0.6712340026232787,-0.11764705882352955,0,383045296.0,54.7823877820483,0.8107255520504731,383045296.0,0.04149184149184148,1127719975.0,-0.032725957661290384,ts,2018-03-15,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,-0.032725957661290384,17.0,11.0,0.5526315789473685,1.0,2018-03-15,2018
sz002606,2019-06-13,-0.02931034482758621,80.0,0.8850931677018634,0.013879662972415607,-0.020270270270270285,0,40728777.9,44.00436287048793,0.29951690821256033,40728777.9,0.23926380368098168,97934246.0,0.06761543749999999,tp,2019-06-14,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.047844781250000024,0.047844781250000024,0.057730109375000005,0.057730109375000005,0.06761543749999999,0.06761543749999999,0.07750076562499997,0.07750076562499997,0.018381938277087118,0.018381938277087118,0.018381938277087118,0.018381938277087118,34.0,5.0,0.4603174603174603,1.0,2019-06-14,2019
sz002607,2026-07-30,-0.024038461538461675,40.0,-0.3835616438356164,-0.1871983743967488,0.05050505050505061,0,471716831.9,16.831631724327615,0.24363636363636362,471716831.9,0.3366336633663367,615829739.0,0.02748977062807878,ts,2026-07-31,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,0.02748977062807878,62.0,7.0,0.24390243902439024,0.0,2026-07-31,2026
sz002608,2022-04-06,-0.04384485666104554,36.0,0.03114186851211076,-0.010148894972290767,0.0033840947546530664,1,18939045.9,39.253052579240375,0.10151515151515152,18939045.9,0.5,67573209.0,0.007710697751322826,ts,2022-04-07,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,0.007710697751322826,53.0,6.0,0.29333333333333333,1.0,2022-04-07,2022
sz002611,2018-08-08,-0.022471910112359605,48.0,-0.63,-0.49888092791486605,0.19865319865319853,1,114092442.2,55.31067593565774,0.5069252077562326,114092442.2,0.1902654867256637,379023108.0,-0.019989022090517228,ts,2018-08-09,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,-0.019989022090517228,29.0,6.0,0.4423076923076923,0.0,2018-08-09,2018
sz002611,2018-08-21,-0.028490028490028352,-56.0,-0.6911111111111111,-0.48816658646484967,0.24028268551236742,0,194785013.1,33.04576954235261,0.5138504155124654,194785013.1,0.17920353982300877,350740507.0,-0.046254265945747775,ts,2018-08-22,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,-0.046254265945747775,18.0,10.0,0.25,0.0,2018-08-22,2018
sz002611,2021-02-03,-0.027450980392156765,80.0,0.03649635036496335,-0.09339780282291044,-0.09252669039145911,0,41758701.55,41.90555406073891,0.17475728155339806,41758701.55,0.357142857142857,159483509.0,0.06761543749999999,tp,2021-02-04,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.047844781250000024,0.047844781250000024,0.057730109375000005,0.057730109375000005,0.06761543749999999,0.06761543749999999,0.07750076562499997,0.07750076562499997,0.04832310357862912,0.04832310357862912,0.04832310357862912,0.04832310357862912,58.0,4.0,0.30120481927710846,0.0,2021-02-04,2021
sz002612,2020-03-30,-0.03480589022757696,24.0,-0.09391534391534395,0.013286670600443529,0.044755244755244616,0,45166233.1,17.46564757210061,0.1433486238532111,45166233.1,0.4918699186991868,72393691.0,-0.030661999393203798,ts,2020-03-31,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,-0.030661999393203798,23.0,2.0,0.4888888888888889,0.0,2020-03-31,2020
sz002622,2022-03-28,-0.027472527472527486,64.0,0.8775510204081634,-0.2219063294927427,-0.03703703703703698,0,35281778.95,44.66228407461817,0.19999999999999993,35281778.95,0.32592592592592595,60993855.0,0.06761543749999999,tp,2022-03-29,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.047844781250000024,0.047844781250000024,0.057730109375000005,0.057730109375000005,0.06761543749999999,0.06761543749999999,0.01645746822033911,0.01645746822033911,0.01645746822033911,0.01645746822033911,0.01645746822033911,0.01645746822033911,56.0,11.0,0.4166666666666667,0.0,2022-03-29,2022
sz002622,2024-02-22,-0.024038461538461675,84.0,-0.10540540540540544,-0.34508816120906805,-0.37349397590361444,0,57555207.45,48.310646812027265,0.3953488372093023,57555207.45,0.23163841807909613,74925852.0,0.06761543749999999,tp,2024-02-23,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.047844781250000024,0.047844781250000024,0.057730109375000005,0.057730109375000005,0.06761543749999999,0.06761543749999999,0.07750076562499997,0.07750076562499997,0.08738609374999995,0.08738609374999995,0.07131634852216773,0.07131634852216773,74.0,9.0,0.5131578947368421,1.0,2024-02-23,2024
sz002622,2025-05-09,-0.020689655172413834,28.0,0.16317991631799145,0.19782738894281415,0.15999999999999992,1,48720215.7,23.914716724854667,0.15451895043731784,48720215.7,0.4854368932038834,75095278.0,-0.04627468089788711,ts,2025-05-12,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,-0.04627468089788711,46.0,4.0,0.30303030303030304,1.0,2025-05-12,2025
