sym,close,amt20_wan,volbr,ret20_pct,comp_prov,rank_prov
sh603383,27.18,7743.4,0.493,-7.33,2.5459,169
sz002778,15.8,4900.5,0.443,-0.13,2.544,170
sz301117,13.25,11509.7,0.29,1.92,2.5385,171
sz300968,9.95,9692.5,0.398,-4.14,2.5379,172
sh605086,23.76,2948.2,0.735,-7.44,2.5341,173
sz300823,14.7,4286.3,0.526,-2.84,2.5281,174
sz002872,5.96,2785.0,0.393,8.56,2.5245,175
sh600576,5.41,8100.9,0.394,-1.99,2.5239,176
sh605009,24.82,2949.7,0.615,-2.86,2.5152,177
sh603089,9.77,5966.4,0.572,-8.0,2.5142,178
sh688567,9.02,8866.2,0.487,-7.96,2.5129,179
sh600054,10.77,12177.5,0.385,-5.28,2.5128,180
sz301167,13.45,3267.7,0.731,-8.07,2.5111,181
sh600810,6.32,4616.5,0.498,-2.02,2.5108,182
sz002775,3.3,3560.9,0.807,-11.29,2.5086,183
sz000692,4.12,7096.4,0.454,-3.96,2.5079,184
sz002072,7.33,17870.7,0.392,-9.39,2.5049,185
sz300883,6.43,5146.3,0.514,-3.74,2.5002,186
sz301158,14.34,12261.2,0.367,-4.02,2.4986,187
sh688334,18.11,2015.1,0.613,1.23,2.4938,188
sh605001,5.79,4567.4,0.485,-1.03,2.4912,189
sh603187,10.74,4094.6,0.571,-3.94,2.488,190
sh605368,6.71,2994.1,0.581,-1.18,2.4823,191
sz000669,4.2,2518.4,0.582,0.48,2.4822,192
sh600966,4.88,6873.8,0.469,-4.13,2.4819,193
sz301026,19.49,9522.2,0.471,-7.37,2.4771,194
sz002627,6.7,10731.1,0.392,-4.01,2.4761,195
sz002234,7.83,4831.3,0.505,-2.37,2.4753,196
sh603335,6.22,6735.3,0.501,-5.47,2.4751,197
sh600191,9.22,11818.0,0.647,-17.24,2.4736,198
sh600846,10.96,3027.5,0.735,-6.96,2.4725,199
sz301068,26.13,4574.0,0.647,-7.86,2.4708,200
sz301040,26.12,5293.2,0.514,-3.65,2.4689,201
sh688707,10.28,5183.1,0.503,-2.84,2.4638,202
sz300425,4.0,2902.2,0.631,-2.68,2.4635,203
sh600834,7.58,2169.2,0.633,0.13,2.4604,204
sz301598,51.61,3483.9,0.576,-2.14,2.4567,205
sz300485,8.7,4375.7,0.626,-6.35,2.4492,206
sz001255,27.0,3059.4,0.527,1.39,2.449,207
sz002184,9.93,3351.2,0.588,-2.17,2.4455,208
sz002369,5.64,10234.1,0.486,-8.44,2.4428,209
sh601158,3.99,2755.5,0.696,-4.32,2.4424,210
sh605066,6.75,4108.0,0.639,-6.12,2.4408,211
sz002088,8.18,2436.3,0.686,-2.73,2.4404,212
sz000557,3.64,2946.4,0.634,-2.67,2.4398,213
sz000707,4.5,3366.9,0.631,-3.85,2.4378,214
sh603689,7.59,3275.2,0.57,-1.04,2.4377,215
sh605337,9.03,3087.2,0.62,-2.48,2.4314,216
sh605338,17.78,3521.3,0.649,-4.87,2.4301,217
sh603839,6.9,5830.4,0.519,-4.3,2.4261,218
sh603279,11.22,9135.4,0.399,-2.26,2.4258,219
sz301370,8.64,2295.3,0.723,-3.25,2.4258,220
sz002360,5.34,3017.1,0.795,-8.25,2.4247,221
sz001872,22.81,7025.9,0.411,-0.39,2.4225,222
sz301049,20.57,2006.3,0.684,-0.53,2.4217,223
sz000548,4.58,2579.1,0.611,-0.22,2.4208,224
sz300380,28.52,10017.8,0.385,-2.23,2.4202,225
sz300004,7.97,21349.2,0.397,-10.45,2.4199,226
sh688377,17.27,4371.1,0.76,-10.75,2.419,227
sz002096,9.34,4942.2,0.48,-0.64,2.4168,228
sz002206,4.98,4512.4,0.607,-5.5,2.4164,229
sh603810,11.95,2402.0,0.731,-3.86,2.4161,230
sz000501,7.16,9202.1,0.395,-1.92,2.4141,231
sz300651,16.19,10118.4,0.437,-5.32,2.4112,232
sz001205,14.52,5195.0,0.459,0.07,2.4086,233
sz002114,7.24,6582.8,0.527,-5.61,2.4061,234
sh603194,33.76,3073.4,0.579,-0.44,2.4056,235
sz000030,3.93,4164.6,0.697,-7.96,2.4054,236
sz002864,21.22,4909.0,0.592,-5.56,2.4029,237
sh603566,10.22,2771.8,0.618,-0.97,2.4016,238
sh603730,9.72,15489.7,0.431,-9.07,2.4011,239
sh603214,13.43,7117.2,0.457,-2.82,2.3995,240
sh603518,7.74,5121.7,0.572,-5.03,2.3959,241
sz000915,24.22,9744.1,0.363,-0.21,2.394,242
sz300387,7.4,8906.8,0.397,-1.46,2.3921,243
sz002658,7.35,3891.2,0.524,-0.14,2.392,244
sh603188,4.54,8570.7,0.481,-5.81,2.3912,245
sz002942,16.93,21652.6,0.285,-2.03,2.3882,246
sz300882,13.45,2341.7,0.784,-4.95,2.3865,247
sz002721,2.66,43461.4,0.346,-13.64,2.3853,248
sz301590,68.89,5587.8,0.484,-1.61,2.3823,249
sz002448,11.11,19394.6,0.438,-11.33,2.3764,250
sh605305,30.73,13845.9,0.441,-8.19,2.375,251
sh600866,4.17,11450.7,0.393,-3.47,2.3725,252
sh688538,2.07,14846.8,0.47,-10.39,2.3694,253
sz300967,16.34,10773.2,0.46,-6.68,2.369,254
sh605377,8.14,5703.4,0.518,-3.33,2.3672,255
sh600125,5.27,5506.1,0.553,-4.53,2.3654,256
sz000888,9.34,14081.5,0.424,-7.25,2.3635,257
sh601518,2.76,3976.9,0.588,-2.82,2.3622,258
sh600525,4.91,9814.0,0.565,-10.73,2.362,259
sh600148,15.8,4686.9,0.462,1.48,2.3619,260
sh600720,5.16,4154.1,0.557,-1.9,2.3604,261
sh603333,9.43,12873.6,0.425,-6.36,2.3581,262
sh688096,7.5,5679.3,0.774,-12.99,2.3564,263
sh603988,17.94,7465.2,0.646,-11.23,2.3563,264
sh605599,13.8,11141.8,0.586,-12.77,2.3525,265
sz001382,16.42,4448.3,0.532,-1.32,2.351,266
sh605287,36.25,14215.5,0.349,-2.37,2.3495,267
sh603385,5.65,2334.0,0.658,-0.18,2.349,268
sh603086,5.82,13040.8,0.301,2.11,2.3477,269
sz300093,21.72,13768.6,0.559,-13.6,2.346,270
sh603700,11.57,6413.8,0.524,-4.46,2.3432,271
sh603060,5.46,2494.8,0.668,-1.09,2.341,272
sz300876,15.11,5162.0,0.541,-3.02,2.3377,273
sh600916,7.36,32724.9,0.297,-6.48,2.3372,274
sz301519,11.98,2454.9,0.68,-1.32,2.3367,275
sh603871,12.17,14199.5,0.527,-12.32,2.3361,276
sz300542,12.44,12577.2,0.401,-4.45,2.3357,277
sh603191,13.42,20822.3,0.389,-8.65,2.3355,278
sz300218,12.55,2308.5,0.707,-1.65,2.3349,279
sh688081,26.67,4491.2,0.647,-6.03,2.3344,280
sz002445,3.11,29884.0,0.412,-13.61,2.3332,281
sh601827,7.86,4551.1,0.566,-2.84,2.3331,282
sz301199,18.17,2671.1,0.553,3.06,2.3264,283
sz301539,15.39,3100.0,0.512,3.5,2.3237,284
sz002661,7.59,10985.1,0.471,-6.87,2.323,285
sh600897,15.05,3521.3,0.518,2.03,2.3202,286
sh605389,65.98,5693.3,0.529,-3.23,2.3193,287
sh600749,13.49,21158.5,0.404,-9.46,2.3159,288
sz002660,7.9,13495.6,0.274,4.5,2.3155,289
sh600409,6.32,19145.6,0.444,-10.73,2.3098,290
sh603055,9.26,8475.1,0.4,-0.11,2.3048,291
sz000544,7.2,2102.9,0.749,-1.77,2.304,292
sz002166,6.75,9060.4,0.405,-1.03,2.3036,293
sh603916,10.68,9726.6,0.48,-5.9,2.3029,294
sh603508,20.94,4550.9,0.59,-3.5,2.3024,295
sz000885,11.79,3727.3,0.652,-3.83,2.2918,296
sz002875,13.1,7871.9,0.418,-0.3,2.2907,297
sh688750,14.16,3112.5,0.592,0.35,2.2887,298
sh603111,6.08,3403.6,0.55,1.33,2.2847,299
sz300465,11.31,15984.2,0.455,-9.23,2.2822,300
sh603049,45.06,11586.3,0.528,-9.7,2.2814,301
sh600241,7.31,2348.1,0.744,-2.4,2.2813,302
sz002991,37.5,3610.5,0.615,-1.94,2.28,303
sh601002,5.19,6106.2,0.512,-2.63,2.2793,304
sz000524,8.99,11426.3,0.555,-10.72,2.2742,305
sz300732,5.76,3128.2,0.744,-5.11,2.2726,306
sz002727,10.86,6334.9,0.638,-8.28,2.2723,307
sz002801,26.94,2493.1,0.643,0.71,2.2716,308
sz002527,10.7,5649.9,0.572,-4.46,2.271,309
sh600993,22.46,7072.5,0.495,-3.11,2.2701,310
sh603609,6.34,3781.4,0.609,-2.01,2.2686,311
sz300261,4.88,8416.7,0.449,-2.4,2.2683,312
sz002277,5.36,13191.3,0.669,-16.64,2.2679,313
sz301298,12.76,2312.6,0.764,-2.74,2.2678,314
sh605158,7.77,5357.7,0.579,-4.19,2.2676,315
sz300962,13.1,2638.4,0.787,-4.73,2.2646,316
sh605138,6.21,3305.8,0.486,4.9,2.2645,317
sz003000,9.44,4193.3,0.611,-3.08,2.2644,318
sz301491,37.4,2490.6,0.773,-3.66,2.2611,319
sz002595,39.77,24312.9,0.508,-15.78,2.2602,320
sz002423,9.23,20439.9,0.351,-5.04,2.2597,321
sh603193,20.39,5762.7,0.488,-0.59,2.2575,322
sz002160,3.88,5319.8,0.606,-5.13,2.2573,323
sh605155,14.46,2878.7,0.552,3.21,2.2565,324
sz301327,42.03,4987.6,0.641,-5.8,2.2523,325
sh605007,15.16,6403.9,0.469,-0.59,2.2514,326
sz002760,17.72,6503.8,0.475,-1.01,2.2482,327
sh603370,27.44,3791.6,1.104,-16.39,2.2474,328
sz301037,13.1,2666.7,0.708,-2.02,2.2468,329
sh688162,25.04,2452.1,0.679,-0.08,2.2399,330
sh603768,11.57,2603.1,0.7,-1.36,2.2368,331
sh603365,16.06,2600.4,0.886,-7.11,2.2341,332
sh600235,5.82,2597.5,0.716,-1.85,2.2336,333
sh603327,8.38,22456.1,0.449,-11.6,2.23,334
sz002399,9.73,4326.5,0.707,-6.44,2.2228,335
sz300942,6.61,3893.6,0.617,-2.07,2.2224,336
sz300175,5.39,3911.4,0.806,-8.64,2.2211,337
sz000605,5.88,2203.8,0.779,-2.16,2.2208,338
sz300536,8.46,5979.6,0.631,-6.83,2.2206,339
sh603977,11.26,7341.9,0.486,-2.43,2.2203,340
sz300087,5.62,13504.1,0.35,-0.35,2.22,341
sz002950,8.64,4968.7,0.722,-8.28,2.2198,342
sz002997,26.32,10819.2,0.522,-7.97,2.2192,343
sz002908,7.02,3382.3,0.681,-3.04,2.2189,344
sh688021,20.36,2709.4,0.757,-3.42,2.2142,345
sz300807,36.5,3652.4,0.723,-5.22,2.2136,346
sh688410,9.94,11122.3,0.543,-9.14,2.2115,347
sz300899,30.39,2587.0,0.602,2.7,2.2109,348
sh605567,9.42,5459.9,0.459,2.06,2.209,349
sz002629,4.24,6849.6,0.805,-14.0,2.2086,350
sz002884,15.45,2495.1,0.755,-2.46,2.2077,351
sz300371,10.21,3145.7,0.761,-4.93,2.2073,352
sh600796,5.08,2812.4,0.716,-2.31,2.2066,353
sz301097,34.89,2282.8,0.591,4.46,2.206,354
sh601388,3.19,12430.0,0.6,-12.6,2.2051,355
sz301133,27.27,9361.2,0.545,-7.43,2.2048,356
sz300384,11.9,2594.2,0.752,-2.62,2.1982,357
sz002393,13.93,2786.7,0.708,-1.83,2.1973,358
sz002651,8.12,22742.7,0.335,-4.13,2.1944,359
sz300519,14.59,4706.0,0.596,-2.73,2.1942,360
sh600568,2.37,2319.3,0.487,9.22,2.1938,361
sz002758,8.54,13418.1,0.286,5.04,2.1911,362
sh603551,9.29,2045.1,0.777,-0.96,2.1889,363
sz000159,5.42,4912.5,0.813,-10.71,2.188,364
sz000600,7.21,13750.5,0.516,-9.65,2.1858,365
sz301256,10.12,8311.2,0.432,-0.3,2.1847,366
sh603987,7.57,2447.8,0.69,0.26,2.1825,367
sh600328,5.72,11549.5,0.57,-10.34,2.182,368
sh600232,6.52,3252.1,0.6,0.93,2.1807,369
sz300256,2.67,8102.6,0.596,-7.93,2.1806,370
sz300941,15.17,7596.9,0.475,-1.69,2.1786,371
sz002401,12.11,3606.6,0.656,-2.26,2.1783,372
sz301296,6.44,2066.4,0.791,-1.38,2.1775,373
sh600269,3.79,7160.9,0.494,-2.07,2.1774,374
sz002826,17.15,5907.3,0.508,-0.81,2.1753,375
sh603101,7.36,7027.5,0.474,-0.81,2.1745,376
sz300758,11.43,10472.9,0.399,-0.52,2.1745,377
sz002664,14.88,5501.6,0.55,-2.04,2.1734,378
sz300898,19.98,5948.5,0.542,-2.44,2.1732,379
sz002461,8.38,3293.9,0.72,-3.57,2.1713,380
sz001219,12.75,2689.8,0.648,1.03,2.1703,381
sh601033,14.25,4639.2,0.557,-0.63,2.1696,382
sz002101,8.63,3065.3,0.726,-3.03,2.1686,383
sz300884,12.22,6803.8,0.583,-5.49,2.1684,384
sz000623,17.73,18679.0,0.366,-4.01,2.168,385
sh600456,25.45,11449.3,0.465,-5.04,2.1648,386
sz002556,5.13,9720.6,0.427,-1.35,2.1641,387
sz301255,19.24,2450.3,0.778,-2.48,2.1635,388
sz301106,19.55,9645.7,0.428,-1.26,2.1625,389
sh603948,19.6,2369.9,0.819,-3.35,2.1591,390
sh603535,6.22,2274.2,0.776,-1.58,2.1576,391
sz002066,20.25,5160.7,0.787,-10.0,2.1575,392
sz001379,15.83,2326.7,0.728,-0.25,2.1568,393
sz002953,10.35,20099.9,0.36,-4.17,2.1565,394
sz300982,14.37,2876.4,0.763,-3.49,2.1561,395
sh600528,6.81,5363.2,0.593,-3.4,2.155,396
sh600990,17.91,5522.3,0.53,-0.94,2.1548,397
sh603121,12.64,10617.8,0.558,-8.6,2.1524,398
sz002984,13.06,11443.6,0.537,-8.42,2.1512,399
sh603311,25.46,16555.5,0.464,-8.42,2.1509,400
sh603273,14.73,2793.9,0.676,-0.14,2.1489,401
sh605151,18.68,3091.2,0.75,-3.66,2.148,402
sz300637,9.44,3795.6,0.516,3.51,2.1469,403
sz001279,26.43,2280.8,0.64,3.28,2.1434,404
sz002478,6.47,16882.8,0.403,-4.99,2.1373,405
sz301295,37.61,5921.9,0.52,-0.92,2.1369,406
sz002306,2.19,3386.5,0.548,3.3,2.1356,407
sz300541,9.55,5632.0,0.612,-4.4,2.1349,408
sz002287,19.55,2648.4,0.765,-2.45,2.1331,409
sh600336,6.32,5962.9,0.504,-0.16,2.1318,410
sz001289,14.99,6101.1,0.622,-5.55,2.1301,411
sh603339,12.75,16359.2,0.517,-10.71,2.128,412
sz300546,16.83,15876.3,0.483,-8.73,2.1279,413
sh688579,7.94,2149.1,0.746,0.38,2.1209,414
sh603876,18.36,33971.3,0.595,-21.27,2.1206,415
sh600195,6.68,5469.3,0.597,-3.33,2.118,416
sh600997,5.13,7173.7,0.712,-10.31,2.1173,417
sh688275,68.97,23877.5,0.564,-16.4,2.115,418
sz300220,11.13,2705.0,0.683,0.36,2.1145,419
sh601121,7.26,9354.7,0.483,-3.33,2.114,420
sz002529,6.55,3404.7,0.881,-8.13,2.1133,421
sz300176,4.38,5693.3,0.712,-7.98,2.1128,422
sz002616,4.79,4527.6,0.598,-1.44,2.1128,423
sz301559,12.75,2020.0,0.881,-2.97,2.1108,424
sz002034,14.4,9829.9,0.407,0.42,2.1106,425
sh600012,15.43,9326.6,0.537,-5.86,2.1097,426
sz301503,22.29,2794.3,0.596,3.43,2.1095,427
sh603585,10.47,5608.1,0.487,1.55,2.1067,428
sz300228,6.67,7512.6,0.714,-10.71,2.1065,429
sz300217,4.07,6170.0,0.567,-3.1,2.1064,430
sh603577,9.66,3574.1,0.802,-6.21,2.1049,431
sh603836,9.55,2889.2,0.584,3.69,2.1036,432
sz002820,9.79,11288.9,0.418,-1.51,2.1032,433
sh605598,24.7,5989.2,0.713,-8.38,2.103,434
sz002601,15.24,24640.4,0.368,-6.1,2.1026,435
sz000913,10.66,3786.9,0.848,-8.1,2.1021,436
sh688229,62.17,4255.6,0.653,-2.81,2.0997,437
sz300719,11.96,4806.2,0.547,0.34,2.0989,438
sh600250,9.05,22173.9,0.353,-3.93,2.0975,439
sh600538,4.82,3937.9,0.829,-7.84,2.0936,440
sz300610,10.4,3621.0,0.643,-0.76,2.0934,441
sz000404,6.83,4348.8,0.699,-4.61,2.0932,442
sz300922,17.67,26460.7,0.351,-5.46,2.0923,443
sh603132,18.78,16333.4,0.398,-3.79,2.091,444
sz300621,7.06,3070.7,0.834,-5.49,2.0909,445
sz002481,4.24,7671.6,0.467,-0.24,2.0874,446
sz301152,21.2,15609.8,0.494,-8.62,2.0863,447
sz300641,13.68,6059.4,0.555,-2.15,2.0859,448
sz002706,8.7,26098.8,0.431,-10.31,2.0858,449
sz300306,10.43,2254.1,0.766,-0.29,2.0846,450
sz300381,5.8,7553.6,0.656,-8.37,2.084,451
sh688480,70.6,7316.7,0.574,-4.8,2.0834,452
sz301208,30.55,4301.8,0.582,0.16,2.0778,453
sh603856,11.71,2828.0,0.623,2.63,2.0772,454
sh600128,8.52,3252.5,0.641,0.59,2.0744,455
sz002073,5.67,7278.9,0.587,-5.18,2.0739,456
sz002732,14.11,2251.0,0.714,1.58,2.0726,457
sz300946,36.9,4874.3,0.584,-1.07,2.0725,458
sh600038,27.11,15454.9,0.391,-2.55,2.0708,459
sz301131,33.58,2554.4,0.736,-0.39,2.0707,460
sz301192,19.81,2597.2,0.722,-0.05,2.0691,461
sh603587,12.16,5583.7,0.466,3.14,2.069,462
sh603050,17.28,5060.7,0.646,-3.89,2.0686,463
sh605008,14.25,5448.1,0.333,11.68,2.0674,464
sh600279,4.26,3451.2,0.74,-3.4,2.0665,465
sz002215,9.76,31084.9,0.299,-2.79,2.0653,466
sz300791,17.76,3037.8,0.618,2.3,2.0638,467
sh603007,4.59,13457.7,0.48,-6.13,2.0625,468
