sym,close,amt20_wan,volbr,ret20_pct,comp_prov,rank_prov
sz000692,4.12,6717.2,0.367,-5.94,2.0958,227
sh603566,10.19,2744.8,0.53,-0.39,2.0914,228
sz002880,21.51,6704.1,0.435,-7.12,2.0913,229
sh603813,26.72,2301.5,1.264,-5.25,2.0883,230
sz300048,4.76,4158.1,0.551,-4.42,2.0837,231
sz000597,4.71,5688.3,0.606,-8.01,2.0831,232
sh603577,9.7,3540.3,0.763,-5.37,2.0828,233
sh603896,14.51,2574.2,0.661,-1.36,2.0827,234
sh603237,15.1,5921.2,0.382,-4.91,2.0818,235
sh600853,3.26,2806.7,0.686,-2.4,2.0794,236
sz300453,9.02,5260.0,0.602,-7.11,2.0717,237
sh605151,18.7,3045.7,0.612,-2.2,2.0708,238
sz301298,12.82,2253.2,0.654,0.08,2.0706,239
sz002917,10.14,3044.5,0.571,-1.65,2.0684,240
sz301112,30.3,2641.3,0.64,-1.17,2.0674,241
sh603107,12.08,2070.7,0.627,1.26,2.064,242
sz300541,9.42,5433.9,0.578,-7.01,2.0633,243
sh605108,12.12,4531.7,0.55,-4.94,2.0612,244
sh603021,5.19,3169.7,0.76,-4.07,2.0605,245
sz300256,2.63,7629.5,0.544,-9.62,2.0588,246
sz300340,8.55,3691.1,0.678,-4.58,2.0574,247
sz300664,4.59,2503.0,0.688,-1.08,2.0549,248
sz301239,31.5,6283.6,0.877,-11.32,2.0504,249
sh603758,10.91,13144.3,0.326,-10.65,2.047,250
sh603023,4.03,5170.6,0.59,-6.5,2.0459,251
sz300779,52.14,35382.6,0.57,-23.92,2.0448,252
sh601827,7.81,4393.6,0.572,-4.76,2.0444,253
sh603916,10.52,9434.6,0.371,-8.52,2.0426,254
sz301581,36.4,2341.4,0.848,-1.89,2.0421,255
sz300376,4.13,7297.2,0.655,-10.41,2.0419,256
sz301613,35.08,2551.5,0.844,-2.58,2.0371,257
sz002535,2.42,3899.6,0.738,-5.47,2.0364,258
sz300407,10.58,5792.8,0.946,-10.94,2.0343,259
sz002052,8.3,6460.6,0.44,-6.21,2.034,260
sh601163,12.21,3270.9,0.592,-2.16,2.0329,261
sz000096,7.89,4555.0,0.452,-3.19,2.0325,262
sh603190,16.25,2947.2,0.69,-2.34,2.0317,263
sh603719,9.07,3831.1,0.612,-3.82,2.0289,264
sh605599,13.49,10212.5,0.73,-14.13,2.0268,265
sz300126,6.6,2465.5,0.622,0.15,2.0255,266
sz002864,20.95,4768.3,0.774,-7.55,2.0252,267
sz002942,16.77,21640.2,0.212,-11.78,2.0248,268
sz300270,10.25,9127.8,0.539,-10.79,2.0236,269
sz300665,8.86,5945.6,0.686,-8.66,2.0234,270
sz301588,26.72,7421.6,0.737,-11.17,2.0184,271
sz002908,7.0,3292.4,0.617,-2.37,2.0182,272
sz000524,8.93,10726.8,0.39,-9.8,2.0178,273
sz300963,10.91,5697.6,0.488,-5.62,2.0158,274
sh603185,13.92,10927.8,0.655,-13.81,2.0148,275
sh603429,8.7,2130.9,0.54,2.72,2.0111,276
sh600279,4.27,3403.4,0.593,-2.29,2.0107,277
sz300546,16.65,14418.0,0.242,-8.87,2.0106,278
sz300465,11.13,14942.3,0.456,-13.92,2.0104,279
sz003027,16.54,2365.0,0.876,-1.84,2.0088,280
sz002950,8.55,4624.5,0.704,-6.35,2.0074,281
